City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Kountze,34750,Texas,6.2,8.7,8.2,8.7,7.0,6.3,13.3,13.9,11.7,9.1,8.2,4.0,3.4,2108
Lacy Lakeview,34704,Texas,8.6,7.2,7.7,7.2,5.9,9.6,16.6,12.1,14.0,8.0,6.5,3.1,0.9,6569
Mathis,34696,Texas,10.6,6.8,6.4,6.8,7.8,8.8,9.0,13.5,13.6,9.6,7.5,4.5,2.0,4971
Channing,34688,Texas,6.8,6.3,1.1,6.3,4.7,6.3,15.7,7.3,13.6,11.0,17.3,6.8,3.1,191
Clarendon,34659,Texas,5.6,5.7,6.2,5.7,16.3,7.4,10.7,10.4,11.1,10.2,7.8,6.2,2.3,2015
Pharr,34655,Texas,9.9,10.6,9.2,10.6,7.3,7.8,15.2,13.2,9.0,7.2,5.1,4.0,1.5,73143
Omaha,34583,Texas,4.3,3.1,8.8,3.1,5.0,6.9,11.6,7.6,17.6,12.6,8.7,9.2,4.7,961
Wills Point,34561,Texas,7.2,7.7,5.6,7.7,12.0,4.5,7.3,11.7,14.0,12.0,8.2,7.1,2.8,3527
Hudson,34547,Texas,7.9,9.3,12.7,9.3,7.8,7.2,12.1,11.3,20.2,4.8,4.2,2.2,0.3,4758
San Juan,34518,Texas,11.1,10.3,10.5,10.3,7.5,7.4,12.4,13.0,10.8,8.5,4.8,2.8,0.9,35183
Mart,34514,Texas,6.3,7.0,7.8,7.0,10.3,6.4,10.7,10.3,15.1,10.6,6.5,5.5,3.5,2288
Mclean,34375,Texas,10.8,8.6,5.5,8.6,7.7,6.5,13.6,6.5,8.2,12.4,8.4,7.9,3.9,858
Marshall,34336,Texas,7.7,7.4,6.5,7.4,7.8,9.9,11.5,12.6,12.8,10.1,6.4,4.6,2.8,24424
Carmine,34250,Texas,1.1,2.8,1.7,2.8,3.9,1.7,9.9,3.3,17.1,24.9,14.9,12.7,6.1,181
Sabinal,34241,Texas,7.7,11.8,10.5,11.8,7.8,6.5,14.0,8.6,8.8,6.8,11.2,4.2,2.2,1703
Bellmead,34213,Texas,8.0,10.4,10.5,10.4,8.0,4.6,15.3,10.7,10.5,14.6,4.7,2.2,0.6,10052
De Leon,34208,Texas,8.1,8.3,8.6,8.3,4.3,6.3,9.4,11.2,9.8,14.0,8.1,8.4,3.6,2332
Bloomburg,34188,Texas,2.9,11.1,4.2,11.1,4.9,8.5,10.4,15.3,12.7,11.7,9.5,5.5,3.3,307
Cuero,34181,Texas,8.9,7.6,6.7,7.6,6.8,6.2,14.2,13.5,12.7,9.5,6.1,4.3,3.7,6979
Mexia,34162,Texas,7.3,9.0,7.4,9.0,8.4,6.7,16.1,11.2,11.7,10.2,6.4,4.0,1.8,7502
San Saba,34135,Texas,6.8,6.6,6.9,6.6,7.1,7.2,18.3,11.0,9.4,9.9,9.2,5.0,2.7,3006
Kemp,34063,Texas,6.7,5.7,9.9,5.7,9.7,9.1,14.2,12.2,11.4,7.2,4.9,3.5,5.5,1469
Floydada,34023,Texas,8.2,10.3,7.2,10.3,5.4,6.1,15.1,10.3,12.0,9.3,8.4,4.5,3.2,2946
Bogata,34022,Texas,5.9,5.7,5.1,5.7,5.5,4.7,7.8,13.3,13.9,14.6,15.3,5.9,2.3,1266
Sweetwater,34013,Texas,7.8,6.9,7.5,6.9,6.3,7.0,10.8,13.0,12.5,12.1,8.7,4.5,2.9,10809
Lampasas,33980,Texas,7.4,7.5,5.1,7.5,6.1,7.2,12.8,9.8,11.4,12.8,9.4,7.0,3.6,6885
Paducah,33977,Texas,8.0,3.5,3.9,3.5,5.1,5.3,8.0,4.4,15.5,15.0,17.0,13.0,1.3,1287
West,33953,Texas,4.1,6.3,6.9,6.3,8.6,6.1,9.4,10.9,13.7,9.3,10.9,7.6,6.3,2848
Lipan,33929,Texas,13.8,5.8,5.6,5.8,6.6,8.6,14.4,8.6,7.6,13.2,5.0,8.2,2.8,501
Pearsall,33906,Texas,7.3,7.7,5.3,7.7,9.4,9.6,15.1,12.6,10.4,10.1,6.1,4.5,2.1,9482
Pinehurst,33906,Texas,6.8,4.7,4.5,4.7,4.7,9.0,13.1,13.5,11.7,10.9,9.1,7.1,5.2,2023
Pineland,33875,Texas,14.0,14.4,12.7,14.4,6.1,7.7,11.7,5.7,10.2,5.4,6.5,5.0,0.7,1240
Throckmorton,33839,Texas,3.6,2.5,4.3,2.5,7.2,6.3,4.4,11.9,15.6,11.6,17.8,11.2,3.6,796
Beverly Hills,33833,Texas,7.5,6.5,6.7,6.5,4.4,12.4,15.7,7.4,8.8,15.3,8.9,5.1,1.5,1579
Deport,33750,Texas,2.1,6.4,5.1,6.4,5.9,3.6,10.6,10.4,9.5,26.7,13.6,2.8,3.4,472
Indian Lake,33750,Texas,8.8,11.4,6.0,11.4,4.9,5.7,12.1,17.3,8.2,7.4,12.5,5.2,0.6,992
La Joya,33713,Texas,12.4,10.2,10.1,10.2,7.4,4.9,14.9,11.6,9.5,8.7,5.2,4.8,0.4,4115
Wortham,33690,Texas,8.5,8.8,8.6,8.8,5.8,8.5,7.5,16.5,9.1,8.7,11.4,4.2,2.4,1113
Paris,33557,Texas,7.1,5.9,6.6,5.9,7.4,7.5,12.1,10.9,13.1,11.9,9.5,6.0,2.0,25023
Homestead Meadows North,33542,Texas,9.2,13.0,10.3,13.0,8.6,6.7,13.8,8.5,10.3,12.2,3.8,2.2,1.5,4974
Blum,33534,Texas,18.3,5.6,3.4,5.6,3.2,7.6,22.1,11.2,8.4,9.4,5.2,5.4,0.4,502
Dickens,33500,Texas,6.6,1.7,2.9,1.7,5.0,4.1,2.5,11.2,19.0,15.3,13.2,12.8,5.8,242
Athens,33470,Texas,7.8,9.4,6.6,9.4,7.7,8.4,14.1,12.4,10.8,8.5,5.7,5.7,2.8,12782
Bonham,33449,Texas,6.4,6.4,3.6,6.4,4.6,8.0,14.4,11.5,16.1,10.4,9.3,6.0,3.1,10059
College Station,33434,Texas,4.9,4.0,4.3,4.0,14.5,32.7,14.6,8.0,6.3,5.6,3.0,1.5,0.5,98505
Maud,33393,Texas,9.9,8.7,12.4,8.7,6.8,2.8,13.6,7.3,14.7,7.3,11.8,2.8,1.8,1056
Roaring Springs,33333,Texas,3.5,4.2,5.5,4.2,13.8,5.2,9.3,8.7,19.0,8.7,11.1,7.3,3.8,289
Elm Creek,33311,Texas,8.2,6.8,10.7,6.8,16.3,10.4,6.4,18.8,14.0,5.6,0.8,1.6,0.4,2776
Zapata,33303,Texas,9.9,8.2,6.6,8.2,2.3,9.6,11.9,14.1,12.4,8.6,8.8,5.2,2.5,4873
Benavides,33295,Texas,5.5,9.2,5.7,9.2,5.7,6.9,10.2,10.9,11.0,11.4,13.5,9.0,1.1,1840
Tynan,33281,Texas,9.8,9.4,5.7,9.4,3.8,2.8,8.8,12.6,16.0,14.2,9.8,1.9,5.4,318
Hale Center,33257,Texas,6.9,6.7,12.5,6.7,10.5,5.2,10.1,10.6,10.8,8.7,7.1,8.0,3.0,2711
Coldspring,33224,Texas,12.2,5.2,9.1,5.2,6.1,5.2,12.5,14.4,11.6,11.7,6.5,4.2,1.4,996
Trinity,33224,Texas,2.4,7.7,7.7,7.7,6.0,3.7,7.3,13.0,14.6,17.4,9.8,7.1,3.4,2755
Cotulla,33174,Texas,11.9,10.2,8.0,10.2,8.9,4.1,13.6,11.0,10.5,9.5,8.5,2.6,1.3,3843
Hamlin,33162,Texas,11.1,6.3,8.1,6.3,4.9,3.3,6.9,10.5,10.3,18.5,9.0,7.7,3.4,1773
Lyford,33125,Texas,8.5,7.2,8.6,7.2,9.9,8.0,15.2,9.0,12.1,11.2,5.8,2.9,1.7,2615
Morgan,33125,Texas,16.9,5.2,6.1,5.2,5.3,14.4,11.2,9.6,12.2,7.4,6.6,3.9,1.3,543
Palacios,33125,Texas,7.7,8.7,8.6,8.7,6.5,6.6,13.1,9.0,15.0,14.7,4.7,4.6,1.0,4691
Littlefield,33111,Texas,8.1,6.0,9.1,6.0,9.0,6.6,12.7,9.7,12.8,10.9,8.3,5.2,1.5,6325
Holland,33021,Texas,5.8,7.8,8.5,7.8,12.7,7.4,9.3,12.9,13.0,13.0,5.4,4.1,0.3,1018
Wolfe City,32978,Texas,9.9,8.4,9.1,8.4,10.6,3.0,13.3,10.8,9.1,9.6,8.9,4.1,3.1,1795
Homestead Meadows South,32949,Texas,9.2,4.6,8.4,4.6,12.2,10.9,10.0,16.0,15.2,10.1,2.2,1.3,0.1,5831
Avinger,32946,Texas,7.1,6.0,4.1,6.0,11.4,4.8,6.6,10.2,14.1,18.5,7.7,7.9,1.5,518
Tatum,32941,Texas,5.8,7.2,8.1,7.2,12.1,5.5,13.9,11.7,13.0,11.0,6.7,3.6,1.4,1022
Vinton,32935,Texas,9.0,9.6,11.1,9.6,9.2,11.6,12.0,13.5,11.9,6.2,4.6,0.5,1.0,1529
Corrigan,32917,Texas,11.5,4.6,7.8,4.6,10.0,9.9,6.1,10.3,12.5,16.3,7.9,2.4,0.8,1629
Waco,32864,Texas,8.2,6.7,6.1,6.7,9.8,13.7,13.7,10.9,10.6,9.1,5.2,3.8,2.2,127796
Coleman,32804,Texas,7.6,7.9,3.5,7.9,8.1,6.0,9.6,9.5,8.7,17.2,11.0,8.6,2.5,4581
Palmview South,32793,Texas,5.7,8.8,9.4,8.8,9.6,6.2,9.4,12.8,8.1,10.5,11.1,6.1,2.3,5294
Fruitvale,32734,Texas,5.7,6.2,15.9,6.2,10.5,2.3,8.7,17.1,14.3,9.6,6.1,3.4,0.2,561
Reklaw,32679,Texas,4.0,5.3,11.4,5.3,4.0,9.3,12.0,7.7,13.3,10.4,14.4,4.8,3.5,376
Eidson Road,32668,Texas,8.8,10.0,9.9,10.0,11.8,8.1,14.5,10.3,11.2,8.7,4.0,2.4,0.4,10643
Silverton,32667,Texas,5.1,9.0,10.1,9.0,6.8,5.5,9.6,14.6,11.2,11.5,6.3,6.4,3.9,780
Matador,32656,Texas,4.2,6.5,8.3,6.5,12.0,8.1,12.9,7.9,12.0,6.5,11.1,8.9,1.7,542
Milford,32656,Texas,7.4,8.9,4.4,8.9,7.1,4.4,14.0,8.9,18.7,11.0,7.6,6.9,0.7,721
Midway North,32610,Texas,12.8,10.7,7.1,10.7,9.1,9.7,14.1,11.6,9.0,7.4,6.3,2.0,0.1,5159
Barry,32422,Texas,2.9,8.6,17.8,8.6,5.1,0.6,8.6,19.4,11.2,9.6,8.9,5.1,2.2,314
Port Isabel,32415,Texas,10.6,7.1,4.6,7.1,6.8,7.8,12.1,11.3,12.9,11.4,7.6,7.0,0.9,5033
Munday,32396,Texas,11.1,6.0,7.6,6.0,4.9,5.9,12.9,15.9,10.5,7.3,7.2,6.7,4.1,1411
Gustine,32361,Texas,4.7,7.8,6.5,7.8,5.7,9.8,14.5,9.2,11.6,17.4,8.4,4.3,0.2,490
Jefferson,32361,Texas,3.5,8.6,4.7,8.6,5.4,5.7,11.5,10.9,9.6,15.5,12.0,9.0,3.8,2210
Tulia,32346,Texas,7.2,8.1,5.7,8.1,6.0,9.2,13.5,11.1,11.4,11.4,7.7,7.0,1.8,4923
Keene,32314,Texas,8.3,11.4,7.2,11.4,9.6,8.5,16.3,8.6,9.6,9.3,4.8,4.4,2.0,6089
Brownsville,32288,Texas,9.2,8.9,9.7,8.9,8.9,7.7,12.8,13.1,11.4,8.4,5.6,3.1,1.4,179834
North Alamo,32269,Texas,10.3,12.5,11.7,12.5,6.9,4.2,15.8,12.3,11.4,3.4,4.1,5.2,2.2,3756
Cross Plains,32188,Texas,9.0,12.0,5.4,12.0,9.0,8.2,15.5,12.1,6.5,7.1,8.4,5.7,1.0,1360
Tye,32188,Texas,7.5,9.5,10.0,9.5,7.5,5.2,11.6,14.1,17.8,8.8,4.5,3.0,0.3,1167
Smiley,32159,Texas,3.6,6.9,8.8,6.9,7.6,2.6,16.6,15.8,11.3,8.7,9.0,7.1,1.9,577
Edgewood,32153,Texas,3.1,9.3,8.1,9.3,6.1,7.1,9.8,13.7,13.6,10.7,9.7,6.4,2.3,1434
Walnut Springs,32143,Texas,8.7,7.9,10.4,7.9,10.8,5.9,10.0,14.8,5.9,11.4,10.0,3.9,0.4,798
Memphis,32042,Texas,3.7,3.6,8.6,3.6,12.4,4.1,4.3,12.8,14.6,12.9,13.7,7.6,1.7,2069
New Waverly,32039,Texas,5.7,5.1,8.0,5.1,11.4,8.0,11.3,8.7,11.1,19.6,7.6,2.9,0.8,1145
Kerens,32016,Texas,6.4,8.7,11.5,8.7,8.9,4.6,12.2,10.1,13.6,7.9,7.3,5.8,3.0,1895
Creedmoor,32000,Texas,5.9,1.6,2.7,1.6,4.3,5.4,9.6,16.6,18.7,11.8,4.8,4.3,14.4,187
Uvalde Estates,31812,Texas,3.3,5.6,8.7,5.6,6.8,10.8,5.1,25.3,8.9,14.5,6.7,1.1,3.3,2408
Grandfalls,31750,Texas,11.5,14.7,5.1,14.7,4.0,5.1,17.1,8.8,12.0,6.4,9.9,4.6,0.8,374
Spur,31750,Texas,6.4,4.5,6.5,4.5,6.9,6.0,11.4,18.5,11.8,10.5,10.8,5.3,1.5,1204
Port Arthur,31736,Texas,9.3,7.1,7.2,7.1,6.9,7.1,14.4,11.5,13.4,11.6,5.7,4.3,1.6,54685
La Blanca,31719,Texas,6.9,9.4,7.3,9.4,11.6,10.6,11.5,10.1,12.8,9.9,7.9,0.9,1.1,2759
Onalaska,31714,Texas,5.1,8.6,8.8,8.6,2.2,2.3,11.3,9.2,12.7,17.4,15.5,6.1,0.9,1731
Rule,31700,Texas,7.0,4.2,7.1,4.2,5.8,2.8,9.2,14.8,11.2,12.8,8.9,6.8,9.4,617
Grand Saline,31696,Texas,8.5,8.2,7.2,8.2,6.3,6.1,12.1,13.2,11.9,11.2,6.4,3.6,5.3,3109
Karnes City,31685,Texas,8.6,6.0,6.3,6.0,6.8,5.5,17.5,12.8,12.5,11.6,3.7,6.7,2.0,3162
