City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Hallettsville,30296,Texas,5.7,9.4,6.0,9.4,4.3,3.7,13.2,10.2,12.3,12.5,9.6,8.5,4.6,2569
Leakey,30227,Texas,5.5,2.6,5.1,2.6,9.8,4.9,5.5,11.1,19.0,15.4,11.5,6.0,3.6,469
Coolidge,30179,Texas,8.0,6.9,4.1,6.9,6.4,14.6,10.0,11.3,13.7,13.7,2.4,7.0,1.9,827
Quanah,30175,Texas,9.3,8.7,8.6,8.7,3.9,4.3,14.7,10.6,11.2,13.3,7.4,7.0,1.1,2744
Donna,30049,Texas,11.3,11.1,8.4,11.1,6.9,6.8,15.3,10.2,7.4,10.9,6.0,4.3,1.4,16169
Zavalla,30000,Texas,5.6,2.7,6.3,2.7,8.2,14.9,6.5,11.7,10.7,19.0,10.4,3.5,0.7,712
Rio Grande City,29974,Texas,11.1,9.5,10.0,9.5,7.1,7.8,14.5,13.5,10.8,6.7,4.9,3.1,1.1,14033
Frost,29958,Texas,9.5,5.4,9.9,5.4,9.5,5.1,16.6,5.5,18.7,9.5,5.5,2.9,2.2,729
Olton,29934,Texas,8.5,6.9,6.6,6.9,7.3,7.8,8.8,11.7,14.9,10.1,6.7,5.0,5.7,1904
Cooper,29846,Texas,4.9,5.5,5.2,5.5,7.1,7.5,8.3,11.4,16.0,13.3,10.3,5.9,4.6,2076
Balcones Heights,29824,Texas,7.8,8.3,7.1,8.3,4.1,8.3,20.0,13.1,13.7,10.5,4.4,2.1,0.7,2825
Agua Dulce CDP,29821,Texas,10.0,9.7,10.6,9.7,13.3,5.8,12.3,13.5,13.2,6.5,4.1,0.5,0.6,2926
Sherwood Shores,29728,Texas,5.9,8.9,1.6,8.9,1.1,0.8,6.8,9.2,17.4,21.0,17.6,9.0,0.8,1069
Rising Star,29531,Texas,6.6,6.6,10.5,6.6,10.0,4.3,4.9,17.1,10.7,9.6,9.9,8.0,1.9,1077
Pecan Gap,29500,Texas,3.8,5.2,2.8,5.2,4.7,8.1,12.8,8.5,19.9,13.7,9.5,7.6,3.3,211
Point,29464,Texas,6.2,8.7,6.6,8.7,5.2,3.4,10.3,8.5,22.3,15.7,4.7,5.5,2.9,727
Charlotte,29448,Texas,6.8,5.9,11.6,5.9,9.1,7.2,9.9,9.3,11.3,13.1,10.9,4.2,0.7,1971
Progreso,29441,Texas,7.6,10.7,7.3,10.7,8.0,6.2,17.7,12.1,13.9,8.2,4.7,2.9,0.8,5709
Olney,29394,Texas,11.8,5.0,5.7,5.0,7.8,9.6,9.0,10.8,11.8,11.4,11.0,3.3,2.9,3242
Springlake,29375,Texas,7.5,6.0,9.7,6.0,11.9,2.2,8.2,17.9,11.2,6.0,12.7,5.2,1.5,134
Linn,29342,Texas,8.7,14.7,9.0,14.7,5.7,4.1,12.5,11.0,5.2,16.0,8.1,3.6,1.5,689
Rockdale,29323,Texas,7.3,10.5,5.2,10.5,4.5,6.4,13.9,10.8,13.7,14.1,8.3,3.1,2.4,5506
Huntsville,29257,Texas,4.5,4.2,3.6,4.2,10.4,19.5,16.4,12.8,12.9,8.5,4.0,2.3,1.1,39764
Kennard,29250,Texas,5.3,7.4,12.0,7.4,6.0,3.2,7.6,10.9,13.7,11.6,15.7,3.2,3.2,432
Newcastle,29239,Texas,0.9,6.3,9.7,6.3,0.7,2.5,13.3,10.8,12.0,14.0,13.1,14.9,1.8,443
Rio Bravo,29173,Texas,11.7,9.9,9.9,9.9,9.9,6.3,14.9,9.9,12.5,8.2,3.7,2.9,0.4,4880
Rosebud,29167,Texas,5.6,4.9,6.5,4.9,8.1,5.7,7.5,11.6,14.1,14.1,12.8,6.7,2.5,1377
Nixon,29154,Texas,8.5,12.0,10.8,12.0,7.3,5.5,14.3,10.5,12.4,7.8,6.9,1.3,2.7,2591
La Feria,29130,Texas,8.6,10.5,7.2,10.5,8.1,4.7,12.4,13.2,9.2,9.4,8.8,7.2,0.8,7301
Garrison,29083,Texas,11.0,6.3,10.3,6.3,3.8,1.7,8.7,15.7,8.8,9.0,7.9,9.4,7.4,837
Bremond,29063,Texas,6.4,3.0,4.7,3.0,4.7,6.3,8.0,14.6,14.8,17.2,8.1,5.6,6.7,954
Stonewall,29038,Texas,6.8,6.2,3.8,6.2,10.2,0.8,20.4,17.0,4.6,16.2,4.6,6.2,3.4,501
Prairie View,28929,Texas,0.9,0.9,1.1,0.9,49.8,33.4,3.1,3.3,2.5,1.9,1.6,1.1,0.5,5890
Huntington,28920,Texas,7.2,11.2,9.2,11.2,4.1,2.5,16.3,13.8,9.6,10.4,8.2,5.7,1.7,2169
Premont,28842,Texas,6.5,6.6,5.1,6.6,10.6,7.6,7.8,9.2,12.9,11.3,8.3,9.4,4.8,2674
Siesta Shores,28807,Texas,20.1,15.5,7.2,15.5,2.9,3.6,25.3,5.9,5.8,5.4,5.5,2.0,0.8,1534
Balmorhea,28750,Texas,6.3,9.6,12.9,9.6,8.2,5.1,12.0,10.0,9.4,14.1,5.6,6.0,0.9,552
Normangee,28750,Texas,8.9,5.8,7.0,5.8,8.3,2.5,13.9,15.4,13.0,9.0,5.9,6.4,4.0,676
San Perlita,28750,Texas,10.9,9.5,9.8,9.5,5.0,10.6,10.3,12.3,10.0,9.8,7.0,2.7,1.9,640
Waelder,28750,Texas,7.1,4.2,5.6,4.2,13.8,9.4,7.0,11.7,19.0,9.6,9.3,3.1,0.4,1351
Barstow,28542,Texas,6.6,5.8,7.8,5.8,6.6,2.3,9.9,8.3,7.3,15.7,9.3,12.9,7.6,396
Alton,28512,Texas,11.4,9.4,8.4,9.4,9.0,10.6,15.8,11.9,10.0,7.3,4.5,1.4,0.1,14735
Rochester,28500,Texas,5.4,7.7,5.4,7.7,4.6,5.4,15.3,6.9,11.5,14.9,13.4,7.7,1.9,261
Troup,28500,Texas,10.2,6.6,9.3,6.6,3.3,6.7,15.9,11.4,11.0,11.2,7.6,5.3,1.6,1812
Milano,28375,Texas,5.9,10.0,11.3,10.0,10.0,7.6,5.9,7.6,16.0,11.0,9.6,4.1,1.0,489
Asherton,28352,Texas,7.6,5.3,7.1,5.3,10.1,4.8,9.9,7.6,14.1,13.4,10.9,6.2,3.0,1254
La Homa,28352,Texas,9.8,10.3,12.0,10.3,10.7,9.6,11.4,14.6,9.6,5.9,3.4,1.9,0.9,13535
Angus,28333,Texas,1.9,2.9,7.9,2.9,7.9,4.2,7.1,12.9,16.1,22.4,10.6,3.7,2.4,379
Brookshire,28308,Texas,10.0,11.0,6.6,11.0,11.3,8.0,10.8,14.5,12.5,5.5,5.3,2.3,2.1,4804
Morning Glory,28095,Texas,14.5,9.3,9.5,9.3,5.6,8.8,16.0,19.2,5.6,4.7,3.4,1.6,1.8,443
Ballinger,27917,Texas,3.9,8.6,11.0,8.6,7.0,10.1,6.8,12.6,9.1,10.6,11.1,4.5,4.7,3744
San Benito,27880,Texas,9.7,10.5,7.5,10.5,7.7,6.2,14.2,11.5,9.4,10.4,6.4,4.4,2.1,24447
Junction,27878,Texas,6.6,5.6,4.5,5.6,9.3,5.5,7.7,12.3,11.8,17.6,11.3,3.6,4.5,2766
Wharton,27855,Texas,7.2,7.3,6.3,7.3,8.4,8.4,13.1,9.8,12.4,12.4,8.8,4.2,1.8,8768
Lueders,27841,Texas,2.3,3.4,6.2,3.4,5.6,2.3,6.2,12.4,19.1,14.6,16.3,4.5,7.3,178
Pittsburg,27721,Texas,8.8,5.6,10.1,5.6,7.2,8.0,14.1,9.3,10.7,12.8,6.8,4.2,2.4,4517
Abram,27699,Texas,3.1,5.4,13.1,5.4,13.0,3.2,4.4,13.7,17.0,10.5,10.2,5.4,1.3,1927
Hemphill,27500,Texas,3.1,11.1,9.1,11.1,6.7,5.7,12.2,6.8,15.1,8.5,11.8,6.0,4.0,1248
Los Indios,27500,Texas,9.7,5.4,8.5,5.4,6.8,8.2,7.2,14.0,16.7,7.8,6.8,8.3,0.7,1081
North Cleveland,27500,Texas,8.5,6.2,4.5,6.2,5.1,4.5,4.5,18.1,9.0,12.4,18.6,7.3,1.1,177
Fifth Street,27305,Texas,9.6,21.4,8.3,21.4,5.8,4.1,16.7,15.5,9.5,4.9,1.5,2.3,0.5,2362
San Marcos,27261,Texas,4.5,3.9,3.8,3.9,13.4,31.9,16.7,7.4,6.2,5.7,3.3,2.2,1.3,51289
Powell,27143,Texas,16.4,5.5,0.7,5.5,4.1,18.5,3.4,6.2,13.7,13.7,6.9,6.9,4.1,146
Alba,27125,Texas,11.9,12.6,7.2,12.6,4.1,1.3,21.6,6.0,7.9,14.0,8.4,4.6,0.5,801
Gorman,27083,Texas,7.1,7.5,7.9,7.5,2.9,2.0,6.5,14.4,13.7,11.3,14.9,7.3,4.6,850
Seven Points,27019,Texas,9.1,3.9,4.9,3.9,7.0,7.3,12.6,6.0,11.9,18.5,11.7,3.4,3.7,1337
Camp Wood,26902,Texas,8.2,3.7,5.5,3.7,7.9,4.9,8.6,11.8,11.4,13.4,12.3,8.5,3.8,1057
Emory,26898,Texas,1.7,5.4,7.2,5.4,10.4,9.1,13.5,10.0,13.5,8.0,12.1,6.9,2.2,1160
Grapeland,26855,Texas,6.0,7.2,5.6,7.2,4.7,3.8,13.6,11.3,8.2,16.4,11.9,9.3,2.1,1857
Malakoff,26831,Texas,3.9,11.0,14.7,11.0,5.6,4.1,11.3,12.1,9.0,12.4,7.8,5.7,2.5,2817
Goodlow Park,26765,Texas,4.9,2.9,1.5,2.9,5.4,4.9,7.3,7.3,27.3,20.0,8.3,6.3,3.9,205
Toco,26750,Texas,11.3,15.8,3.0,15.8,6.8,1.5,10.5,12.0,9.8,16.5,3.8,8.3,0.8,133
Marlin,26631,Texas,6.7,6.1,6.4,6.1,9.6,6.0,9.9,10.8,14.3,13.6,6.8,6.3,3.7,5867
Roxton,26563,Texas,7.6,2.8,3.6,2.8,6.3,12.7,9.8,3.6,20.7,15.5,7.0,9.4,1.1,615
Seth Ward,26458,Texas,8.0,6.2,9.6,6.2,11.7,5.3,15.5,8.1,8.8,19.8,2.3,3.6,1.0,1747
Hearne,26452,Texas,9.3,6.8,5.7,6.8,8.6,8.2,14.4,8.3,14.8,9.5,9.7,2.5,2.1,4443
Lasara,26350,Texas,7.6,7.8,8.7,7.8,10.2,9.7,12.9,11.9,9.1,6.9,8.2,1.8,5.1,881
Cameron Park,26307,Texas,10.0,10.5,10.8,10.5,8.2,9.9,13.7,11.6,13.4,7.9,1.6,1.4,1.1,7811
Detroit,26250,Texas,3.5,6.9,7.9,6.9,10.6,5.0,15.9,12.3,12.9,13.6,7.2,4.1,0.3,738
Groveton,26250,Texas,9.3,5.9,12.4,5.9,10.0,1.0,12.4,12.3,7.8,10.3,7.1,9.3,2.2,1575
Timpson,26250,Texas,9.6,10.5,5.7,10.5,5.6,5.1,17.4,11.8,13.6,8.3,7.0,3.2,2.1,1462
Sullivan City,26231,Texas,10.6,7.2,8.1,7.2,8.3,11.2,11.6,14.2,11.0,6.6,7.0,3.7,0.6,4087
Center,26212,Texas,9.8,7.6,8.7,7.6,5.2,4.1,11.6,13.5,9.9,11.0,10.4,4.8,3.4,5239
Richland,26176,Texas,11.6,3.6,2.2,3.6,1.8,3.1,9.8,8.4,23.1,13.3,13.3,7.6,2.2,225
Crystal City,26094,Texas,9.3,11.5,7.2,11.5,7.4,8.7,11.9,10.1,12.4,9.0,7.2,4.7,0.8,7353
Lone Star,26067,Texas,12.8,6.9,5.1,6.9,3.7,10.5,9.8,7.7,9.3,13.3,8.8,10.3,1.9,1439
Perezville,26059,Texas,10.4,7.7,7.1,7.7,8.2,6.3,6.1,13.1,8.9,3.7,13.7,12.6,2.4,4543
Lometa,26000,Texas,13.5,5.2,13.0,5.2,7.7,7.8,10.4,9.6,11.4,10.4,5.9,2.5,2.8,869
Santa Anna,25938,Texas,6.5,4.3,10.0,4.3,9.1,0.9,5.8,13.7,18.2,14.3,9.8,4.3,3.0,1296
Loraine,25694,Texas,5.0,7.0,8.4,7.0,5.3,6.1,5.9,5.4,16.6,12.6,19.1,6.8,2.0,645
Joaquin,25543,Texas,5.9,7.4,15.8,7.4,4.1,6.9,13.2,12.6,10.9,11.5,7.9,3.3,0.5,781
Wells,25515,Texas,16.6,7.1,8.8,7.1,7.9,7.6,10.6,12.3,6.9,9.9,4.2,4.6,3.6,1057
Encinal,25483,Texas,6.4,6.6,8.4,6.6,9.3,3.2,12.2,11.6,12.0,12.9,9.7,5.6,2.1,874
Goree,25417,Texas,5.9,4.8,6.4,4.8,3.7,4.8,10.6,19.2,3.2,10.6,14.4,16.0,0.5,188
Hughes Springs,25250,Texas,8.4,7.8,9.7,7.8,5.1,6.7,7.9,13.7,9.4,10.2,7.8,8.4,4.9,1983
Buckholts,25192,Texas,12.0,5.5,10.1,5.5,9.5,8.0,9.5,5.5,16.8,8.6,9.9,4.0,0.6,525
Doolittle,25142,Texas,14.0,11.1,13.4,11.1,5.8,8.0,15.3,8.5,6.6,8.6,5.6,2.6,0.6,3597
San Augustine,25072,Texas,6.5,6.7,7.7,6.7,6.3,4.9,9.1,11.7,11.7,10.0,13.0,9.1,3.6,2409
Turkey,24792,Texas,15.0,6.8,6.1,6.8,4.7,2.1,13.9,7.0,10.8,9.9,10.8,8.5,4.5,426
Fabens,24478,Texas,7.7,11.3,9.9,11.3,10.4,8.5,10.7,13.0,9.9,9.1,4.6,3.1,1.8,8282
Sierra Blanca,24327,Texas,8.8,7.5,2.4,7.5,6.6,7.5,14.4,13.7,15.2,14.6,6.2,1.5,1.7,547
San Diego,24260,Texas,5.2,5.4,5.7,5.4,10.4,10.7,10.7,11.9,13.4,11.1,10.2,3.1,2.2,4813
La Pryor,24196,Texas,8.9,7.8,9.2,7.8,10.1,4.5,12.6,11.3,7.7,14.2,5.5,6.2,2.2,1562
Raymondville,24150,Texas,5.8,5.9,5.7,5.9,7.7,9.2,18.9,14.0,12.3,8.3,6.0,4.6,1.5,11226
Heidelberg,24125,Texas,16.8,9.1,11.3,9.1,8.3,6.8,13.9,14.6,10.1,7.0,1.5,0.2,0.4,2311
Tenaha,23827,Texas,11.2,5.4,7.4,5.4,12.6,10.6,4.9,16.0,12.2,8.5,7.9,3.0,0.5,1515
Avery,23750,Texas,7.3,4.6,9.6,4.6,6.8,3.8,12.7,7.6,15.2,14.9,10.1,5.8,1.5,395
Linden,23676,Texas,3.9,8.4,10.2,8.4,5.2,6.0,14.8,12.6,7.0,9.2,12.0,8.3,2.3,2466
Kirbyville,23534,Texas,7.9,6.4,6.7,6.4,10.1,7.8,4.9,10.3,12.3,13.1,9.4,6.0,5.2,2246
Monte Alto,23478,Texas,12.1,7.6,9.0,7.6,13.0,6.3,12.1,9.6,10.2,6.0,8.0,5.0,1.1,1807
La Villa,23380,Texas,8.9,9.7,11.8,9.7,6.3,9.4,14.6,11.6,9.0,7.7,7.1,3.7,0.3,2477
Benjamin,23375,Texas,6.3,7.3,10.3,7.3,6.0,8.0,14.2,3.6,16.2,7.6,9.6,7.6,3.3,302
Ladonia,23125,Texas,7.1,12.3,5.6,12.3,6.5,10.0,7.4,6.7,10.5,13.7,14.6,4.9,0.8,659
Mila Doce,23116,Texas,13.3,14.0,11.2,14.0,10.7,4.7,11.7,12.9,7.3,7.8,3.4,1.4,1.8,5386
Laguna Heights,22699,Texas,15.3,11.6,12.9,11.6,4.8,4.6,18.6,8.4,8.5,7.5,3.2,3.5,1.2,3075
San Elizario,22574,Texas,13.0,10.8,9.9,10.8,10.9,8.9,12.7,10.0,11.9,6.5,3.2,2.0,0.4,14360
Elsa,22298,Texas,10.2,8.6,10.1,8.6,9.0,6.5,11.5,14.5,10.5,5.2,5.3,6.6,2.0,6232
Crockett,22285,Texas,7.7,4.2,7.9,4.2,5.9,9.6,8.9,12.9,13.3,10.6,7.8,7.2,3.9,6702
La Puerta,22260,Texas,18.0,5.6,8.9,5.6,7.8,1.3,22.4,10.7,9.1,10.6,4.4,0.7,0.6,540
Broaddus,22250,Texas,7.1,3.5,3.0,3.5,7.1,20.7,7.6,9.6,8.1,10.1,12.6,2.0,8.6,198
Presidio,22080,Texas,7.2,7.9,12.4,7.9,10.6,1.4,6.1,17.0,12.6,8.0,8.0,6.2,2.6,4237
Blessing,21910,Texas,14.7,11.8,9.4,11.8,9.7,3.7,23.2,5.8,5.4,4.2,5.0,4.3,2.8,1176
Las Quintas Fronterizas,21667,Texas,14.8,7.4,3.4,7.4,8.6,20.8,8.0,8.8,12.8,7.5,6.4,1.3,0.2,2489
Big Wells,21583,Texas,12.8,6.4,1.7,6.4,2.3,5.6,8.4,8.1,13.0,19.5,14.8,5.6,1.9,533
South Alamo,21573,Texas,14.1,10.1,11.9,10.1,9.0,7.1,13.1,10.1,10.8,7.9,0.6,4.8,0.5,3907
Jasper,21227,Texas,9.1,10.4,7.9,10.4,7.5,5.9,11.9,12.4,11.7,9.5,7.0,5.7,1.2,7688
El Cenizo,21205,Texas,12.9,9.3,11.5,9.3,13.0,9.5,9.9,10.2,11.1,8.4,2.8,1.4,0.2,3302
Fort Hancock,20951,Texas,8.9,11.3,7.9,11.3,8.9,4.0,11.6,9.1,13.3,10.5,7.2,5.9,1.5,1590
Roma-Los Saenz,20095,Texas,6.4,8.3,9.4,8.3,10.0,6.2,8.7,13.9,12.8,7.7,8.0,5.8,2.8,9938
Escobares,19867,Texas,10.0,5.9,6.0,5.9,6.9,10.4,8.5,11.2,12.0,12.0,11.7,4.8,0.5,2003
Edcouch,19489,Texas,8.0,11.1,9.5,11.1,8.4,7.0,16.1,12.0,3.5,9.5,7.4,4.4,3.2,3217
Chula Vista,19344,Texas,11.3,12.6,7.1,12.6,7.4,6.4,13.0,10.8,10.5,9.1,7.3,2.7,1.8,3474
Commerce,19301,Texas,6.4,5.3,5.1,5.3,14.3,22.6,9.7,9.8,7.8,9.3,5.7,2.0,2.2,8348
La Grulla,18929,Texas,6.4,6.7,4.2,6.7,7.2,9.6,8.3,14.3,16.2,9.4,6.5,9.4,1.8,1312
Calvert,18875,Texas,3.9,16.3,10.2,16.3,7.1,6.8,12.7,9.7,9.7,9.3,8.2,3.9,2.3,1200
Falfurrias,18284,Texas,8.2,6.6,5.1,6.6,6.9,11.1,16.7,7.7,10.0,10.0,9.3,7.7,0.8,4683
Clarksville,17861,Texas,6.1,8.2,6.3,8.2,8.8,2.7,10.8,11.1,10.5,11.3,13.9,5.6,4.6,3220
Alto,17652,Texas,2.3,5.3,12.3,5.3,9.8,9.9,8.6,9.5,13.2,12.5,11.6,3.7,1.2,1323
Carbon,16250,Texas,2.1,10.8,8.1,10.8,8.1,9.3,13.5,10.2,11.4,6.3,8.7,5.1,6.3,333
Batesville,11974,Texas,8.6,4.6,6.4,4.6,8.3,14.3,7.1,22.4,14.1,7.7,3.0,2.6,0.9,1123
