City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Palatine Bridge,39750,New York,2.0,4.0,6.6,4.0,5.0,3.2,4.5,9.2,13.4,20.0,12.9,12.9,6.5,806
Spencer,39702,New York,7.3,9.4,8.3,9.4,6.1,5.8,7.2,18.4,11.4,11.8,7.8,4.6,1.9,981
North Gates,39693,New York,4.6,6.7,4.2,6.7,6.7,6.1,16.5,10.4,14.8,12.0,9.5,5.5,3.0,9956
Catskill,39680,New York,7.8,5.2,6.4,5.2,5.1,7.9,16.3,15.2,9.0,13.9,5.7,4.7,2.9,3989
Massena,39658,New York,6.3,4.8,6.8,4.8,5.8,6.6,12.4,11.6,15.9,13.1,6.9,6.4,3.5,10937
Palmyra,39567,New York,8.1,6.1,3.0,6.1,8.3,7.2,17.3,9.1,16.2,11.0,6.8,4.6,2.4,3473
Alexandria Bay,39554,New York,6.8,9.6,3.0,9.6,2.2,7.3,17.7,9.6,14.6,14.2,6.7,3.4,5.0,1001
Troy,39526,New York,6.3,5.9,4.7,5.9,10.4,12.8,16.1,10.9,11.8,9.9,5.7,3.3,2.2,49965
Barker,39519,New York,15.2,8.1,9.2,8.1,6.5,4.5,14.9,12.9,8.5,10.8,6.0,3.1,0.3,705
Sylvan Beach,39516,New York,1.6,2.8,7.8,2.8,4.2,0.6,7.7,10.7,26.1,14.4,12.6,6.7,5.0,863
Delhi,39500,New York,1.3,2.2,3.1,2.2,36.1,22.2,6.8,5.2,6.3,7.1,4.4,3.7,2.0,3023
Savannah,39500,New York,4.7,3.5,11.0,3.5,7.5,0.9,12.2,12.2,12.9,17.1,12.7,1.9,3.3,426
Oswego,39466,New York,5.2,5.5,5.0,5.5,6.2,15.1,11.7,11.0,12.2,12.4,7.1,5.9,2.7,18119
Gilbertsville,39375,New York,4.5,5.4,9.6,5.4,5.1,2.0,8.2,14.7,7.3,17.8,11.0,9.9,4.5,354
Dansville,39345,New York,3.5,4.6,7.3,4.6,8.6,4.4,5.2,13.4,20.9,14.3,7.6,4.7,5.6,4618
Gowanda,39286,New York,3.8,7.5,6.0,7.5,3.2,3.4,16.4,12.1,16.8,12.6,8.5,5.6,4.1,2679
Crugers,39167,New York,2.6,1.2,1.1,1.2,5.1,1.3,7.1,13.4,5.5,17.0,19.5,14.0,12.2,1781
Sherman,39167,New York,5.9,6.7,13.0,6.7,7.0,5.3,10.0,13.8,13.1,13.1,8.6,2.0,1.6,701
Bridgewater,39063,New York,9.2,7.7,9.8,7.7,9.0,9.2,16.7,7.5,13.2,6.7,6.9,4.0,0.2,522
Poughkeepsie,38973,New York,6.8,6.9,5.7,6.9,6.8,7.8,15.5,12.9,12.6,11.2,7.2,4.6,2.1,30716
Saint Bonaventure,38929,New York,1.2,0.5,1.7,0.5,34.5,35.8,1.3,5.1,4.5,4.5,6.0,3.0,2.0,1975
Schenectady,38916,New York,6.8,6.7,6.3,6.7,7.7,8.6,15.1,12.4,13.5,10.9,6.1,3.7,2.4,66055
Pine Bush,38847,New York,3.1,5.4,1.6,5.4,3.3,5.7,14.8,6.9,12.8,18.3,18.5,6.5,3.2,1564
Phoenix,38846,New York,11.6,6.4,7.1,6.4,5.9,5.9,18.8,9.5,12.5,12.5,5.9,3.0,0.9,2497
Ogdensburg,38822,New York,5.0,6.2,6.0,6.2,3.9,7.6,15.1,13.7,16.9,12.8,7.0,4.1,1.8,11029
New Paltz,38803,New York,1.1,2.7,2.6,2.7,25.1,37.8,6.7,4.8,5.5,4.7,3.3,4.8,0.9,6945
Brockport,38750,New York,4.0,2.1,3.5,2.1,21.1,28.3,8.3,6.2,7.1,9.2,4.9,3.7,1.6,8398
South Fallsburg,38750,New York,12.3,13.9,12.0,13.9,7.2,5.0,14.1,11.7,10.7,7.4,4.3,1.4,0.2,3131
Watkins Glen,38571,New York,5.4,4.7,4.8,4.7,5.7,8.1,12.4,9.2,12.7,14.1,8.5,10.7,3.8,1847
New Berlin,38537,New York,5.0,5.7,5.3,5.7,4.3,3.6,8.6,11.5,14.1,12.8,14.8,8.8,5.3,1240
Schroon Lake,38500,New York,5.1,5.5,4.2,5.5,2.5,10.7,4.8,7.7,11.1,19.5,8.8,13.2,7.0,569
Auburn,38399,New York,6.1,5.6,5.2,5.6,6.0,7.2,14.2,13.5,13.6,12.7,7.3,5.2,3.6,27369
Port Jervis,38397,New York,7.3,7.2,7.9,7.2,7.2,6.3,12.5,9.6,13.6,14.0,6.9,5.5,1.9,8736
Panama,38333,New York,4.7,10.4,9.4,10.4,5.1,2.6,11.8,11.8,11.6,13.0,11.2,6.3,2.2,492
Fillmore,38188,New York,10.6,3.7,13.5,3.7,2.4,4.2,13.9,12.1,13.9,12.2,3.5,6.3,3.7,621
Lake Katrine,38125,New York,4.6,3.2,3.0,3.2,5.1,8.0,5.9,8.2,13.0,17.3,8.1,10.5,13.1,2374
Hornell,38093,New York,8.8,6.6,4.9,6.6,6.7,7.4,13.5,11.5,13.7,13.1,6.1,5.3,2.6,8508
Oneonta,38034,New York,3.0,3.3,2.8,3.3,21.7,29.6,8.4,5.5,7.0,8.7,4.6,3.3,2.1,13906
Johnson City,37936,New York,7.0,5.9,5.0,5.9,5.4,8.6,14.4,12.1,12.5,11.5,7.7,5.6,4.3,14977
Dunkirk,37930,New York,6.1,5.6,6.4,5.6,6.3,9.4,13.8,10.4,14.5,12.3,9.0,4.6,1.5,12386
Little Falls,37867,New York,5.9,6.0,5.2,6.0,5.4,7.4,12.2,9.2,16.8,11.5,8.7,6.1,5.7,4909
