City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
De Leon Springs,51250,Florida,5.6,5.9,7.9,5.9,5.9,9.0,12.3,13.2,15.5,7.7,8.4,5.9,2.8,3639
La Crosse,51250,Florida,1.2,9.3,3.6,9.3,5.2,4.4,7.3,6.5,25.8,19.4,11.7,4.0,1.6,248
Limestone Creek,51225,Florida,2.6,12.0,10.2,12.0,11.1,7.0,19.4,18.5,8.0,8.6,0.8,1.0,1.0,1152
University Park,51194,Florida,3.6,3.5,4.1,3.5,8.8,10.1,12.2,10.4,15.4,11.0,10.3,7.9,2.8,26304
Tamiami,51109,Florida,4.7,3.9,5.1,3.9,6.7,7.3,11.6,14.4,17.2,11.9,9.9,5.6,1.8,57123
Sarasota,50931,Florida,4.7,4.9,4.6,4.9,5.1,6.7,12.4,11.7,14.3,12.9,11.1,6.8,5.0,52986
Kensington Park,50859,Florida,6.3,4.6,7.7,4.6,3.5,6.4,7.9,14.5,15.1,13.6,9.3,7.8,3.4,4228
Bokeelia,50850,Florida,0.4,2.3,2.4,2.3,3.1,2.3,5.1,2.6,9.2,24.5,24.9,22.5,0.9,1242
Sharpes,50750,Florida,6.1,3.1,6.1,3.1,4.6,3.2,6.5,14.8,22.8,14.0,10.7,3.7,4.5,3059
Bradenton,50643,Florida,6.1,5.5,5.1,5.5,5.9,6.5,13.5,11.2,11.3,12.5,9.6,7.9,5.0,50777
Titusville,50641,Florida,4.9,5.7,5.1,5.7,5.5,6.1,10.3,12.0,13.4,13.7,11.5,8.8,3.1,44032
Gulfport,50517,Florida,4.4,2.7,2.9,2.7,5.4,5.4,8.6,10.2,17.3,15.6,14.3,8.8,4.5,12102
Lake Hamilton,50357,Florida,10.2,7.8,4.9,7.8,4.1,8.7,14.6,9.9,16.5,9.5,9.7,3.2,1.0,1258
Palm Bay,50351,Florida,5.9,6.2,6.5,6.2,6.9,6.0,11.8,11.8,14.6,13.9,9.2,5.4,2.0,104342
Port Charlotte,50313,Florida,3.9,4.3,5.0,4.3,4.9,5.2,8.2,9.9,14.4,15.7,14.6,9.1,5.0,55206
Spring Ridge,50278,Florida,4.0,3.3,2.0,3.3,6.3,3.3,4.6,10.9,8.9,23.0,28.3,4.3,1.3,304
Lee,50250,Florida,4.1,8.3,12.8,8.3,2.8,10.4,22.2,13.3,10.5,9.4,3.1,2.6,0.8,618
Port Richey,50250,Florida,1.2,5.4,3.7,5.4,5.6,2.6,4.3,10.1,19.4,17.6,10.8,14.9,4.4,2685
Hudson,50106,Florida,2.1,4.5,4.3,4.5,3.1,3.4,7.4,9.3,12.5,18.4,15.4,12.7,6.9,11730
Plant City,49989,Florida,7.9,7.4,8.0,7.4,7.4,6.4,15.7,13.1,13.1,10.2,6.4,3.3,1.0,35866
Wildwood,49879,Florida,2.9,5.2,3.2,5.2,4.0,3.2,4.8,6.9,10.0,21.7,26.6,7.7,3.9,6782
Nokomis,49804,Florida,4.6,3.2,2.3,3.2,4.8,6.1,16.5,5.3,18.4,15.3,14.0,6.2,3.5,3218
Wright,49741,Florida,8.7,7.0,5.1,7.0,6.4,9.6,17.3,12.4,13.9,8.6,5.7,3.7,1.5,25384
Umatilla,49688,Florida,5.5,5.7,5.2,5.7,7.2,2.1,5.9,9.8,13.0,9.7,14.0,9.0,12.9,3545
Oak Hill,49659,Florida,4.4,6.2,5.5,6.2,4.5,3.6,9.3,10.5,16.8,16.9,11.3,8.4,2.8,1899
Green Cove Springs,49487,Florida,6.3,6.7,5.5,6.7,5.2,6.5,14.3,12.4,12.8,15.6,7.5,5.5,1.7,6984
Babson Park,49453,Florida,7.5,7.2,2.0,7.2,17.3,11.4,10.7,12.3,8.8,8.7,8.3,4.7,1.2,1240
Deltona,49421,Florida,6.2,7.5,6.7,7.5,6.4,6.4,12.3,13.1,14.5,12.0,8.3,4.6,2.1,85765
Westchester,49388,Florida,4.1,5.0,5.4,5.0,5.4,7.3,8.5,14.2,15.8,12.0,10.2,8.6,3.7,29921
Wauchula,49277,Florida,5.8,9.3,9.9,9.3,6.3,9.1,13.6,10.2,12.6,8.0,6.6,5.1,3.7,4930
Winter Haven,49217,Florida,5.3,6.3,5.5,6.3,6.6,6.7,10.1,10.8,12.4,12.5,12.4,8.0,3.3,35070
Eagle Lake,49205,Florida,7.4,9.7,9.9,9.7,6.0,6.5,13.8,11.1,13.1,8.3,8.9,3.1,2.2,2590
Orlando,49177,Florida,7.4,5.7,5.5,5.7,5.4,9.1,20.0,14.9,12.8,9.3,5.5,3.1,1.3,250224
Fort Meade,49125,Florida,6.3,7.9,7.7,7.9,6.3,5.4,12.4,12.7,12.8,10.8,10.0,5.3,2.6,5745
Zephyrhills,49113,Florida,3.4,3.9,4.8,3.9,4.6,4.4,10.5,10.8,14.5,13.7,14.4,10.9,4.2,14041
Casselberry,49093,Florida,7.1,5.0,4.9,5.0,4.5,6.7,16.3,14.3,14.8,11.8,8.8,4.2,1.6,26520
Lakeland,48931,Florida,6.1,5.9,5.9,5.9,6.9,7.7,12.1,11.1,11.8,11.8,10.5,7.3,3.0,99942
Fort Myers Shores,48917,Florida,4.4,3.8,11.1,3.8,3.1,1.1,13.3,12.8,11.2,21.7,9.7,5.1,2.8,5420
Sneads,48750,Florida,5.7,4.9,6.3,4.9,6.1,7.5,12.9,13.3,11.5,10.1,17.0,4.1,0.6,2061
Deland,48740,Florida,5.2,6.9,6.4,6.9,9.8,7.4,10.3,10.5,12.2,10.8,9.7,6.9,4.0,27872
Auburndale,48727,Florida,6.2,7.1,8.0,7.1,8.0,7.1,11.2,14.7,14.5,10.8,6.7,4.3,1.5,13979
Ocala,48698,Florida,7.3,7.2,5.7,7.2,6.5,7.1,13.8,11.7,12.7,10.4,9.1,5.2,3.4,56918
Fort Denaud,48614,Florida,3.3,4.5,1.5,4.5,1.6,3.3,13.5,7.7,12.5,23.6,11.7,9.5,7.3,1499
Indian River Estates,48542,Florida,6.0,1.9,4.5,1.9,2.8,5.0,7.3,12.7,14.0,15.5,17.4,11.0,2.0,5953
Myrtle Grove,48534,Florida,7.7,6.2,6.1,6.2,9.3,12.5,15.2,9.0,10.1,11.8,6.7,4.2,1.2,17475
Deerfield Beach,48438,Florida,4.9,5.8,5.2,5.8,4.5,6.3,13.2,12.2,13.5,12.0,9.9,8.2,4.2,77341
Tavares,48355,Florida,5.8,5.0,4.8,5.0,4.4,4.3,8.8,10.1,9.4,12.1,20.5,11.2,3.6,14343
Thonotosassa,48288,Florida,5.1,5.9,7.3,5.9,8.2,7.6,9.9,10.6,15.1,14.3,9.5,4.8,1.9,13461
Astatula,48190,Florida,7.0,9.0,5.2,9.0,5.9,5.4,7.8,12.1,11.3,19.0,9.9,5.8,1.7,1736
Parker,48152,Florida,3.9,3.5,3.1,3.5,4.2,7.3,11.8,10.5,14.8,18.0,12.8,7.0,2.9,4419
Kendall West,47957,Florida,4.7,5.2,5.2,5.2,7.5,8.4,12.2,13.3,18.6,11.3,7.4,4.3,1.8,38673
Meadow Woods,47881,Florida,5.4,7.2,6.1,7.2,9.8,7.4,14.4,17.9,13.7,10.8,4.9,2.1,0.4,27301
Country Club,47748,Florida,8.2,6.3,6.1,6.3,6.2,8.0,15.9,14.9,14.6,10.2,5.6,2.8,1.3,48349
East Palatka,47739,Florida,8.0,10.0,1.0,10.0,4.5,6.1,21.7,19.5,6.9,7.6,8.2,5.0,1.4,1883
Fanning Springs,47727,Florida,4.8,6.3,6.3,6.3,6.0,7.3,11.8,8.7,11.5,10.8,13.7,8.8,3.9,1109
Pine Island Center,47717,Florida,1.3,2.5,2.6,2.5,5.4,3.6,7.0,7.5,20.7,17.3,15.8,13.9,2.5,2002
Spring Hill,47665,Florida,4.9,6.4,6.0,6.4,5.9,5.2,10.1,11.4,13.8,13.3,12.4,7.6,3.1,100270
Union Park,47542,Florida,4.7,5.8,7.4,5.8,4.2,15.1,16.6,12.6,13.5,8.9,5.1,4.2,2.0,10501
Chattahoochee,47542,Florida,4.1,3.6,4.5,3.6,5.4,3.9,12.3,15.1,24.7,14.2,3.6,6.3,2.4,3342
Greenacres,47417,Florida,6.6,6.2,6.7,6.2,7.0,7.1,15.2,15.0,12.8,9.0,7.7,5.2,1.6,38444
Watergate,47344,Florida,3.2,7.9,8.1,7.9,6.3,6.3,13.6,9.6,22.7,12.7,7.4,1.7,0.7,3142
Chuluota,47310,Florida,9.0,2.9,8.9,2.9,11.8,10.3,6.6,14.4,11.3,15.5,6.1,2.7,0.6,2302
West Miami,47246,Florida,4.7,4.8,6.0,4.8,3.2,6.0,14.5,14.2,14.0,11.4,9.3,7.6,4.4,6197
Minneola,47230,Florida,10.5,6.5,8.4,6.5,4.1,7.4,17.5,13.5,15.1,8.4,5.0,2.6,1.1,9849
Oakland Park,47156,Florida,7.4,4.9,5.2,4.9,5.6,5.2,16.2,16.1,15.6,14.1,6.2,2.5,1.0,42795
Polk City,47095,Florida,6.5,6.4,6.7,6.4,7.8,6.1,10.2,14.0,14.1,12.6,11.2,3.4,1.0,2016
East Milton,47003,Florida,3.7,5.1,5.4,5.1,6.0,8.5,18.5,15.4,15.2,12.0,6.6,3.2,0.5,11337
Gibsonton,46993,Florida,9.8,8.1,9.5,8.1,7.5,6.3,15.6,15.8,10.6,10.0,4.0,2.8,0.2,15893
Shady Hills,46983,Florida,3.9,3.4,6.2,3.4,7.1,5.1,7.1,11.4,17.6,18.4,13.4,5.4,1.2,10687
Wewahitchka,46932,Florida,5.8,2.7,2.8,2.7,11.6,6.4,12.3,13.4,14.4,14.4,8.9,6.5,0.8,2285
Panama City,46891,Florida,6.5,6.2,6.1,6.2,5.2,6.8,12.9,12.6,15.2,11.6,8.3,5.5,3.0,36405
Crooked Lake Park,46806,Florida,4.7,8.4,4.4,8.4,5.8,6.4,18.4,3.5,10.0,15.2,9.9,10.1,3.2,1526
Dania Beach,46797,Florida,6.5,6.0,5.0,6.0,5.0,7.3,14.1,12.3,14.9,14.0,8.8,4.5,1.6,30531
Okeechobee,46750,Florida,7.1,5.2,10.2,5.2,7.5,7.9,14.8,10.8,14.1,8.9,5.9,5.9,1.8,5581
Lecanto,46658,Florida,3.3,2.1,6.8,2.1,5.8,7.1,8.1,13.9,8.8,18.4,15.6,7.4,2.7,5394
Milton,46581,Florida,4.2,6.0,4.2,6.0,7.0,9.1,19.9,8.9,14.6,8.8,6.9,6.7,3.7,9149
Fort Myers,46423,Florida,6.0,6.2,5.7,6.2,6.0,6.6,13.6,13.2,12.6,13.0,10.2,4.6,2.6,66167
Richmond Heights,46324,Florida,3.4,4.8,4.7,4.8,7.2,8.7,12.3,14.5,16.4,10.8,10.2,5.3,1.9,8895
Princeton,46215,Florida,7.5,8.1,10.9,8.1,9.9,7.4,12.2,18.3,11.8,7.9,4.0,1.6,0.5,26164
West Park,46127,Florida,6.3,6.6,6.6,6.6,7.8,6.8,14.9,13.6,15.4,10.3,6.8,3.9,1.1,14604
Lake Wales,46127,Florida,11.3,8.0,6.5,8.0,5.3,6.6,12.1,9.3,8.4,10.5,12.1,6.9,3.2,14665
Sugarmill Woods,46078,Florida,1.9,1.8,3.5,1.8,3.2,2.1,3.3,3.7,9.2,20.9,23.3,20.3,7.0,9495
Bagdad,45929,Florida,9.5,4.8,7.1,4.8,6.7,7.9,6.5,11.4,18.5,8.3,15.7,3.3,0.5,3827
Frostproof,45859,Florida,5.4,2.2,5.0,2.2,15.1,7.5,5.1,11.5,17.1,11.7,10.6,7.3,1.5,3030
Monticello,45750,Florida,3.5,5.4,5.0,5.4,4.5,3.1,12.3,16.5,18.4,13.7,10.7,4.8,2.3,2711
Pompano Beach,45645,Florida,5.6,5.0,5.3,5.0,5.5,5.9,13.6,12.7,14.8,12.5,8.2,6.9,4.0,103234
Manatee Road,45645,Florida,7.2,7.1,6.6,7.1,2.2,6.1,6.9,7.2,15.3,12.9,17.6,9.6,1.4,2722
Memphis,45592,Florida,7.1,5.2,8.4,5.2,9.0,4.5,10.9,12.4,13.7,11.4,9.7,6.5,1.2,8722
Brookridge,45526,Florida,2.5,3.1,2.7,3.1,2.7,1.6,7.1,9.0,9.7,9.8,23.8,22.9,5.3,4750
Floral City,45469,Florida,2.1,3.8,4.6,3.8,4.1,3.1,5.6,7.6,17.8,16.5,19.7,11.4,3.7,4883
Hialeah Gardens,45398,Florida,5.1,5.6,5.3,5.6,6.8,7.4,11.1,17.2,14.5,13.6,8.3,4.2,0.9,22660
Miami Gardens,45360,Florida,6.1,6.7,6.9,6.7,7.5,8.5,14.4,13.3,13.1,12.2,6.8,3.4,1.1,110867
Ridgecrest,45300,Florida,12.4,12.9,7.2,12.9,5.4,3.2,15.3,8.8,8.7,14.0,7.5,4.4,0.3,3526
North Brooksville,45287,Florida,8.9,7.2,6.7,7.2,4.1,6.1,11.3,9.3,12.5,14.5,11.6,4.6,3.4,3964
Warrington,45250,Florida,8.4,6.3,7.3,6.3,3.3,6.8,12.4,9.7,16.2,12.9,10.4,4.8,1.6,13428
Fountainebleau,45228,Florida,5.8,4.9,4.2,4.9,4.4,7.2,15.3,14.4,15.5,11.7,8.1,6.0,2.7,53413
Graceville,45208,Florida,2.4,7.6,9.0,7.6,8.6,10.8,14.2,6.5,11.2,11.0,8.8,6.0,4.1,2266
River Park,45188,Florida,3.3,1.0,4.1,1.0,6.2,8.6,5.2,7.2,19.5,14.6,14.7,9.7,5.9,5352
Port Saint Joe,45074,Florida,4.6,3.3,3.8,3.3,9.8,9.5,14.3,8.3,17.6,11.5,8.7,5.4,3.2,3416
Palmetto,44966,Florida,5.6,5.3,5.3,5.3,6.1,6.9,10.4,8.4,11.4,13.4,14.2,9.9,3.1,12856
Port Labelle,44951,Florida,6.9,6.8,6.7,6.8,12.3,5.5,13.4,8.7,14.8,8.5,6.8,5.1,4.4,4182
Sanford,44909,Florida,6.9,7.8,7.1,7.8,6.8,7.0,14.9,15.2,13.0,10.1,6.2,3.5,1.5,55296
Pomona Park,44886,Florida,6.0,2.4,4.9,2.4,7.7,9.1,5.3,11.0,11.9,15.6,13.1,9.1,3.9,700
Apalachicola,44750,Florida,4.8,7.8,7.1,7.8,5.9,7.9,10.3,11.3,11.8,10.9,11.6,7.4,3.2,2129
Chipley,44740,Florida,10.8,4.5,4.3,4.5,5.6,8.4,12.5,14.4,10.8,6.5,12.2,6.4,3.8,3581
Orange City,44734,Florida,5.4,5.3,4.9,5.3,3.0,5.7,12.0,9.1,14.5,11.5,10.9,10.2,7.5,10968
Dunnellon,44615,Florida,1.5,3.5,3.3,3.5,5.7,2.6,5.7,9.7,12.4,16.1,14.5,15.5,9.5,1686
Everglades,44583,Florida,9.2,6.7,1.2,6.7,7.3,1.8,15.9,6.7,11.3,13.2,21.7,4.0,0.9,327
Hampton,44583,Florida,2.8,6.6,6.4,6.6,1.7,3.4,14.7,8.5,16.2,20.7,11.3,4.7,3.0,469
Indiantown,44521,Florida,8.0,8.3,7.6,8.3,8.2,8.5,14.4,12.0,12.8,7.3,5.8,5.3,1.9,5981
Lady Lake,44488,Florida,3.7,4.1,3.7,4.1,3.5,4.0,8.8,5.8,7.2,12.0,19.4,22.2,5.5,14138
North Miami Beach,44447,Florida,5.2,5.5,7.1,5.5,6.9,7.5,14.9,13.5,14.1,12.9,7.2,3.8,1.6,43028
Cinco Bayou,44375,Florida,5.0,7.7,6.1,7.7,2.5,8.6,15.2,8.3,9.9,14.4,13.3,6.1,3.0,362
Webster,44375,Florida,5.2,5.9,9.4,5.9,9.8,4.7,17.8,8.9,13.7,12.5,5.8,5.1,1.2,845
South Brooksville,44357,Florida,4.4,7.0,2.7,7.0,2.6,4.3,6.6,13.0,16.8,11.9,15.4,12.3,2.9,3923
North Lauderdale,44349,Florida,8.5,7.0,7.4,7.0,7.3,9.2,16.3,14.4,12.4,10.2,4.5,1.9,0.9,42354
Fort Pierce South,44222,Florida,2.1,5.3,7.2,5.3,8.2,6.2,11.5,14.0,14.4,15.9,8.8,4.3,2.2,4887
West Lealman,44178,Florida,4.4,4.3,4.1,4.3,3.8,2.7,11.6,10.3,13.7,17.7,12.4,10.5,4.4,15257
Hastings,44167,Florida,2.1,3.3,4.3,3.3,5.1,2.3,13.6,15.4,17.5,6.9,14.2,11.1,4.3,611
Grand Ridge,44167,Florida,5.1,3.8,4.6,3.8,9.2,6.9,7.9,12.2,13.7,20.8,8.6,5.5,1.8,973
Bayshore Gardens,43878,Florida,5.2,5.3,4.5,5.3,5.3,6.5,12.9,9.3,11.8,13.0,12.0,10.2,4.0,17899
Labelle,43864,Florida,8.3,5.1,11.2,5.1,8.1,5.9,16.0,10.3,10.1,8.2,10.3,4.0,2.5,4633
Macclenny,43824,Florida,6.9,8.9,11.8,8.9,6.5,8.2,13.6,13.0,13.2,7.1,5.8,2.9,2.1,6387
Archer,43750,Florida,6.3,9.1,12.2,9.1,9.6,4.1,8.2,12.1,9.5,15.8,6.6,5.3,1.1,1105
Micco,43739,Florida,2.2,1.2,1.4,1.2,2.4,2.4,2.3,4.6,13.6,19.2,23.1,21.2,6.6,8555
Poinciana,43677,Florida,6.1,7.8,9.9,7.8,8.0,5.8,11.4,13.7,12.6,9.8,9.6,4.0,1.4,56678
Westville,43636,Florida,8.2,8.7,3.6,8.7,11.1,6.7,12.3,12.9,7.2,16.5,8.2,3.6,1.0,389
Orlovista,43559,Florida,7.9,5.3,10.1,5.3,5.3,8.0,14.2,14.0,14.7,10.7,6.4,2.8,0.8,5917
Lauderhill,43489,Florida,6.8,6.6,6.2,6.6,7.6,8.1,13.2,12.5,14.6,11.3,7.3,3.8,1.9,69082
Inverness Highlands South,43438,Florida,7.6,4.8,3.9,4.8,6.3,4.1,12.6,7.9,13.1,10.5,13.0,12.7,3.5,6566
San Castle,43326,Florida,12.9,3.6,5.2,3.6,9.1,12.5,12.9,13.9,12.3,10.0,5.1,1.9,0.8,4513
South Miami Heights,43221,Florida,5.8,7.3,6.2,7.3,6.5,7.1,14.8,11.9,16.2,10.9,7.0,4.7,1.8,37564
Ebro,43214,Florida,14.7,6.8,2.6,6.8,7.5,6.0,18.8,12.8,8.3,8.7,8.3,4.9,0.8,266
East Lake-Orient Park,43149,Florida,8.8,7.1,5.9,7.1,5.8,8.6,15.9,14.6,12.1,13.1,4.6,2.5,1.0,23995
West Perrine,43137,Florida,7.3,6.3,6.8,6.3,5.6,10.2,11.4,14.7,13.0,13.9,5.8,3.7,1.5,10317
Buenaventura Lakes,42962,Florida,6.4,6.5,7.2,6.5,8.4,7.8,13.7,13.1,13.6,11.7,5.7,4.5,1.5,30324
Zephyrhills West,42944,Florida,4.0,1.2,3.0,1.2,1.8,1.2,3.9,4.2,6.0,15.3,29.1,21.8,8.7,5378
Moon Lake,42900,Florida,8.8,5.3,6.0,5.3,4.5,10.9,16.5,10.8,13.1,12.7,7.6,2.9,0.9,4802
Riviera Beach,42814,Florida,8.1,6.1,4.8,6.1,7.8,7.1,12.7,13.2,14.6,11.3,7.3,5.5,1.7,33123
El Portal,42750,Florida,6.6,3.0,6.8,3.0,3.4,5.0,14.1,15.4,17.2,12.2,6.9,5.4,4.0,2404
Meadow Oaks,42674,Florida,3.7,5.0,5.1,5.0,5.1,3.5,10.8,11.5,14.2,18.4,11.9,6.9,4.0,2490
Zephyrhills South,42554,Florida,1.9,4.3,5.5,4.3,3.3,3.7,7.7,7.4,11.3,14.7,22.7,14.1,3.4,6059
Stock Island,42250,Florida,2.5,2.3,10.3,2.3,6.7,4.3,14.2,11.4,24.3,17.0,5.2,0.9,1.1,4153
Greenwood,42237,Florida,5.0,9.5,9.8,9.5,7.2,5.0,10.3,12.3,12.6,7.5,7.1,7.2,6.6,823
Cedar Key,42216,Florida,2.6,0.6,4.3,0.6,2.0,3.6,8.0,5.2,13.8,15.6,31.6,5.4,7.4,691
Samoset,42135,Florida,8.1,8.5,6.0,8.5,5.4,5.0,24.3,9.3,12.1,8.5,6.9,4.6,1.3,3590
Roosevelt Gardens,41950,Florida,8.5,7.3,9.4,7.3,10.2,7.4,13.4,15.3,14.0,5.7,5.5,1.7,1.7,2630
Jay,41750,Florida,3.9,3.7,5.8,3.7,6.7,8.1,9.2,9.5,22.4,8.3,14.6,5.8,2.1,433
Charlotte Park,41689,Florida,5.3,1.5,1.4,1.5,0.4,1.6,8.2,4.0,10.0,15.3,29.0,18.4,5.0,2243
North Sarasota,41570,Florida,7.7,4.9,6.5,4.9,5.1,8.0,11.7,10.6,12.5,14.8,10.0,6.3,1.9,7548
Lake Park,41543,Florida,5.1,5.2,4.7,5.2,4.5,8.6,16.2,11.6,14.4,14.8,7.3,4.3,3.4,8317
Lehigh Acres,41543,Florida,8.4,8.2,8.0,8.2,6.7,7.3,14.4,13.6,12.5,10.0,6.6,3.0,1.5,106747
Altha,41500,Florida,7.4,11.0,4.2,11.0,4.2,5.5,22.3,8.7,11.0,15.2,3.4,5.5,1.6,619
Golden Glades,41486,Florida,6.1,7.4,6.5,7.4,7.1,8.7,16.4,12.3,13.0,11.1,6.7,3.5,1.3,33620
New Port Richey East,41470,Florida,3.2,5.5,3.7,5.5,6.3,4.1,8.0,9.1,14.3,20.2,14.9,6.9,3.9,8376
South Daytona,41447,Florida,7.4,5.5,5.0,5.5,4.9,6.5,12.9,10.3,14.1,14.0,10.6,6.1,2.8,12265
Lawtey,41375,Florida,10.0,4.8,5.2,4.8,9.7,8.5,11.0,8.3,18.0,9.8,6.0,5.0,3.9,1084
Brent,41367,Florida,5.5,5.7,5.0,5.7,12.1,16.6,13.0,9.4,11.4,10.0,6.4,3.7,1.3,22175
Leesburg,41328,Florida,5.0,7.6,6.5,7.6,5.9,7.3,13.1,7.9,9.9,13.6,11.9,7.3,4.0,20915
Homestead,41325,Florida,9.0,9.4,9.1,9.4,6.7,6.2,18.5,14.4,11.2,7.9,5.3,1.8,0.7,63459
Hallandale Beach,41223,Florida,5.2,4.0,3.4,4.0,4.2,4.9,12.9,13.1,12.7,14.6,13.4,7.8,3.9,38270
Bayonet Point,41157,Florida,4.3,4.0,4.7,4.0,5.7,5.6,7.3,12.2,11.1,13.7,13.6,11.0,6.8,24412
Westview,41127,Florida,6.5,4.6,7.0,4.6,6.2,6.8,16.3,10.0,17.7,12.6,7.5,3.7,1.2,10365
Sky Lake,41094,Florida,4.7,4.7,5.0,4.7,8.4,9.1,12.5,13.1,17.2,11.3,7.1,6.1,1.0,5699
Dundee,41061,Florida,15.0,3.4,4.0,3.4,4.1,2.5,20.8,8.9,14.0,9.9,9.0,6.1,2.5,3833
Belleview,40952,Florida,9.7,8.6,5.5,8.6,2.4,5.2,13.1,8.9,14.5,11.9,8.9,9.4,2.0,4585
Cedar Grove,40893,Florida,8.9,7.8,4.6,7.8,5.0,8.1,18.5,10.8,14.0,10.1,7.5,3.5,1.2,3257
Royal Palm Estates,40861,Florida,11.8,7.7,6.3,7.7,4.9,5.7,19.1,17.9,11.7,9.2,3.5,1.2,1.0,2780
Welaka,40833,Florida,8.6,5.2,2.8,5.2,12.2,3.1,8.9,3.7,11.2,18.9,12.9,11.8,0.7,752
Cottondale,40833,Florida,6.4,10.3,10.3,10.3,6.1,7.9,15.6,8.1,8.1,14.2,7.2,4.1,1.9,739
Egypt Lake-Leto,40602,Florida,6.3,5.9,4.9,5.9,6.4,8.6,16.3,15.0,13.9,10.0,7.5,3.4,1.9,36735
Cross City,40500,Florida,12.5,4.3,7.4,4.3,6.4,7.4,11.9,9.5,9.8,13.6,9.5,6.5,1.3,2159
High Point,40455,Florida,0.4,2.0,4.1,2.0,3.6,3.0,4.7,10.6,6.9,19.2,25.9,13.7,5.8,3467
Bronson,40450,Florida,4.3,6.0,4.7,6.0,7.7,6.5,10.6,9.1,17.6,18.4,8.3,2.8,4.1,1125
Baldwin,40417,Florida,7.1,7.3,9.2,7.3,7.5,5.4,16.9,9.1,13.2,11.6,6.8,4.9,1.0,1822
Quincy,40368,Florida,6.0,6.1,6.7,6.1,6.6,7.2,11.5,14.4,12.4,15.3,7.0,4.6,2.2,8022
Palm River-Clair Mel,40332,Florida,7.2,6.4,7.5,6.4,6.9,6.9,13.0,16.7,12.8,12.4,5.6,4.0,0.8,22667
South Highpoint,40328,Florida,7.3,9.1,6.1,9.1,7.0,7.1,14.1,12.5,17.0,10.7,6.6,2.3,0.5,4942
Lake Worth,40266,Florida,6.3,7.1,6.3,7.1,5.8,8.2,16.8,12.9,15.2,10.0,5.9,3.9,1.7,35903
Pembroke Park,40253,Florida,8.6,9.3,6.8,9.3,5.6,4.2,14.4,11.2,14.8,11.5,11.3,2.1,0.3,6220
Inverness,40193,Florida,4.3,3.8,7.2,3.8,7.1,3.7,4.9,10.5,11.2,12.5,14.8,15.0,5.1,7205
Jennings,40000,Florida,8.2,5.7,3.5,5.7,14.0,5.7,8.5,12.2,16.3,12.6,6.9,5.5,0.9,802
Mayo,40000,Florida,4.5,4.1,4.1,4.1,15.5,8.4,12.5,6.9,13.9,12.5,10.9,3.4,3.3,1412
Washington Park,39918,Florida,8.3,6.8,14.1,6.8,4.8,3.0,19.7,9.2,16.6,6.5,6.2,2.6,2.1,1514
Fussels Corner,39865,Florida,1.7,4.6,5.3,4.6,3.0,1.1,8.9,9.7,8.5,17.2,23.1,11.1,5.8,5152
Esto,39821,Florida,7.1,7.4,6.1,7.4,7.4,4.9,10.4,12.0,19.3,10.1,8.6,5.8,0.9,326
Golden Gate,39776,Florida,8.8,8.5,8.0,8.5,7.1,7.4,17.5,15.4,13.7,6.6,3.9,2.5,0.7,28917
South Bradenton,39722,Florida,5.7,6.7,3.9,6.7,4.3,6.5,11.7,10.8,12.6,14.1,12.0,8.5,3.4,22814
Daytona Beach,39633,Florida,5.3,3.5,4.1,3.5,7.3,11.5,13.1,9.8,13.2,13.0,9.7,6.2,3.3,61913
Inglis,39583,Florida,2.2,4.7,3.8,4.7,4.7,2.4,10.2,11.0,10.1,21.5,21.2,5.1,3.2,1306
Cocoa,39577,Florida,7.3,8.4,5.2,8.4,4.8,6.6,13.4,12.6,13.7,11.7,8.1,5.4,3.0,17261
West Little River,39460,Florida,5.4,6.3,5.7,6.3,6.4,6.5,12.1,14.2,16.1,12.2,7.8,5.7,1.5,31226
Bell,39444,Florida,5.8,11.5,4.7,11.5,10.8,6.6,21.4,11.5,7.5,11.3,5.6,2.7,0.7,557
Andrews,39125,Florida,5.3,10.6,5.1,10.6,5.4,3.6,20.5,10.3,19.5,8.2,5.7,3.5,2.3,1198
Beacon Square,39119,Florida,6.5,6.7,5.2,6.7,3.4,2.7,7.9,15.0,14.9,14.6,10.8,8.7,3.6,6645
Tangelo Park,39063,Florida,5.6,4.1,5.6,4.1,14.0,6.5,9.9,15.2,14.8,8.6,11.7,3.0,1.0,2260
Lake City,39046,Florida,7.1,5.8,6.5,5.8,5.9,7.2,13.1,11.6,13.2,12.4,8.0,6.7,2.5,12059
Pine Hills,38961,Florida,7.1,8.3,8.5,8.3,7.5,7.7,13.8,13.2,14.5,10.1,5.5,2.9,1.0,64516
Hernando,38920,Florida,3.7,5.0,4.6,5.0,6.6,6.3,4.4,11.0,14.5,18.9,14.9,8.5,1.8,9109
Taft,38854,Florida,4.3,2.8,4.4,2.8,7.0,7.6,13.0,12.2,23.5,15.0,7.7,2.2,0.3,2146
Center Hill,38704,Florida,11.1,8.1,10.0,8.1,12.6,7.2,11.0,13.9,7.8,5.9,9.3,2.7,0.4,1385
