City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Orange Park,60075,Florida,5.6,4.8,4.8,4.8,5.8,5.7,15.8,8.4,12.6,16.4,10.4,6.8,3.0,8472
Miami Springs,60043,Florida,3.3,5.6,6.8,5.6,5.2,6.5,10.4,14.3,16.2,13.5,8.2,5.9,4.2,14255
Haverhill,60000,Florida,7.9,7.0,6.3,7.0,9.1,6.4,11.0,16.2,17.4,12.0,4.1,2.2,0.6,1966
Delray Beach,59988,Florida,4.7,4.0,4.1,4.0,5.1,6.2,14.1,11.2,13.9,13.8,10.6,7.7,4.6,62828
Saint Petersburg,59832,Florida,5.2,5.2,5.2,5.2,5.7,6.6,13.3,12.8,15.7,14.3,8.7,5.0,2.4,248429
Crestview,59782,Florida,9.5,7.9,6.2,7.9,6.7,8.4,19.2,11.5,13.7,8.8,4.5,2.3,1.5,22099
Sun City Center,59612,Florida,1.3,0.9,0.4,0.9,0.7,0.7,2.3,2.0,4.2,13.2,29.3,26.7,18.4,20042
Dunedin,59495,Florida,4.0,4.2,4.6,4.2,4.3,3.1,10.7,9.3,14.4,16.6,14.7,9.0,5.2,35538
Cypress Lake,59410,Florida,3.3,3.1,2.0,3.1,3.0,3.0,8.3,7.0,14.0,14.4,18.8,13.8,9.2,12177
Inverness Highlands North,59375,Florida,7.8,9.8,8.0,9.8,5.2,4.5,7.3,19.5,6.1,18.8,9.6,2.7,0.8,3290
Olympia Heights,59291,Florida,4.1,5.9,5.8,5.9,3.9,6.9,11.3,11.8,16.9,13.6,8.9,7.7,3.4,13991
Fort White,59250,Florida,10.6,6.0,12.9,6.0,8.7,4.4,6.6,16.9,12.0,8.4,4.0,8.8,0.9,682
Key West,59198,Florida,5.6,4.6,3.7,4.6,3.6,7.7,14.1,16.8,16.2,14.2,8.1,3.0,2.2,25187
Molino,58906,Florida,4.4,5.8,7.7,5.8,13.2,6.4,3.7,16.1,20.3,7.4,7.6,5.0,2.4,1351
Laguna Beach,58871,Florida,3.7,2.1,4.4,2.1,0.9,0.6,13.8,17.6,20.9,15.7,11.5,6.5,2.2,3700
Bellview,58808,Florida,8.3,5.7,5.1,5.7,6.6,5.0,12.2,13.7,14.5,14.0,9.4,4.4,1.3,22759
Belleair Bluffs,58750,Florida,2.7,4.9,1.2,4.9,1.2,9.4,10.1,8.6,13.4,16.0,11.0,13.6,7.8,2098
Altamonte Springs,58621,Florida,4.6,4.2,5.1,4.2,5.0,6.1,18.8,14.2,14.0,13.2,8.6,4.0,2.2,41889
Sarasota Springs,58398,Florida,4.7,5.0,4.2,5.0,6.2,6.3,10.4,12.6,15.9,15.5,9.5,6.4,3.2,15659
Citrus Hills,58315,Florida,1.2,2.0,2.9,2.0,1.6,2.2,2.5,5.7,11.4,19.0,31.7,16.1,3.8,8191
Sunrise,58233,Florida,6.5,5.9,5.8,5.9,5.3,6.8,14.5,14.1,14.3,11.4,7.4,4.9,3.3,88391
Bay Harbor Islands,58032,Florida,5.6,7.7,6.9,7.7,4.2,2.7,11.9,14.2,17.8,11.8,7.8,5.1,4.3,5847
Jacksonville,57944,Florida,7.0,6.6,6.2,6.6,6.3,7.7,15.5,13.1,14.1,11.9,6.8,3.4,1.5,837533
North Port,57900,Florida,4.9,5.8,6.3,5.8,7.0,5.3,9.1,12.7,12.6,14.9,13.4,6.2,1.9,58584
Venice Gardens,57845,Florida,3.6,3.0,3.3,3.0,4.4,3.4,7.6,7.5,12.6,19.9,17.5,11.2,6.0,7381
Naples Park,57813,Florida,5.1,6.5,5.9,6.5,2.6,6.1,18.9,11.0,16.1,12.1,7.8,5.7,2.4,7178
Charlotte Harbor,57772,Florida,4.7,3.7,5.5,3.7,2.2,7.3,8.9,7.0,11.6,11.0,10.7,15.4,11.9,3969
Forest City,57647,Florida,5.1,7.6,8.3,7.6,7.5,5.2,11.4,16.9,16.2,10.6,6.2,2.4,2.7,14724
Saint Augustine,57635,Florida,4.5,2.3,3.9,2.3,8.8,13.0,11.0,9.9,12.3,13.6,10.0,5.8,4.7,13440
Port Saint John,57603,Florida,4.7,5.6,6.4,5.6,7.1,5.7,14.4,12.5,18.3,13.4,7.3,3.5,1.2,11444
Groveland,57543,Florida,5.0,8.9,8.5,8.9,6.3,3.9,10.2,20.7,16.4,8.1,8.2,3.9,0.2,9381
Port Orange,57521,Florida,4.1,4.9,5.0,4.9,5.4,5.6,9.2,11.0,15.6,15.0,12.9,8.0,3.3,57218
Yankeetown,57500,Florida,3.1,4.0,0.8,4.0,6.4,0.4,7.9,6.2,9.6,14.4,38.3,5.8,3.1,481
Middleburg,57470,Florida,7.6,6.4,5.4,6.4,5.5,4.9,13.6,12.2,16.0,13.6,9.9,3.6,1.3,13042
Fruitland Park,57404,Florida,9.7,11.6,6.2,11.6,6.9,6.4,11.3,14.3,12.3,8.5,9.4,2.9,0.7,4275
Fort Walton Beach,57236,Florida,6.2,5.7,5.2,5.7,6.2,8.4,13.8,10.2,14.8,13.2,8.0,6.2,2.3,20320
Citrus Springs,57135,Florida,6.3,5.0,5.7,5.0,4.5,5.8,12.0,9.4,12.4,17.5,12.5,6.5,2.6,8545
Daytona Beach Shores,57111,Florida,1.9,0.6,1.3,0.6,1.2,3.5,6.6,5.5,11.7,16.6,25.7,18.9,6.5,4278
North Bay Village,57069,Florida,6.5,2.2,2.8,2.2,3.9,7.6,19.8,19.0,18.5,11.4,4.0,3.2,1.3,7453
Clearwater,56982,Florida,5.9,5.0,4.7,5.0,4.9,6.2,12.1,12.0,14.5,13.5,10.2,7.9,3.1,109210
Hollywood,56946,Florida,5.7,5.7,5.4,5.7,5.7,5.7,12.8,14.7,16.2,12.8,8.1,5.1,2.2,145128
Freeport,56905,Florida,8.4,9.8,5.3,9.8,7.1,5.8,15.1,10.2,13.9,13.0,7.3,2.5,1.8,2119
Mount Dora,56852,Florida,5.1,6.7,3.9,6.7,4.2,5.5,10.9,11.1,12.7,14.7,12.4,7.5,5.4,12663
Yulee,56782,Florida,6.4,6.4,4.5,6.4,6.5,5.3,14.9,13.5,14.6,13.1,9.9,2.8,2.0,11609
Fuller Heights,56681,Florida,3.5,7.4,5.5,7.4,8.9,4.1,18.1,14.1,11.9,14.4,7.1,3.8,1.4,9198
Saint James City,56681,Florida,0.6,0.7,2.9,0.7,4.5,0.5,3.0,4.8,12.0,18.1,28.9,19.8,4.2,3741
Hobe Sound,56680,Florida,3.1,4.4,5.7,4.4,4.6,2.7,8.5,8.0,14.4,16.8,15.3,12.2,4.3,13205
Westwood Lake,56553,Florida,3.4,5.2,3.8,5.2,3.9,6.0,11.8,14.3,16.1,15.6,11.0,6.4,2.6,11860
Lakewood Park,56510,Florida,3.7,3.6,5.9,3.6,4.6,3.3,10.3,8.6,15.7,17.5,14.6,9.0,3.3,11304
Sunny Isles Beach,56502,Florida,2.7,3.7,3.7,3.7,3.6,4.2,11.5,13.0,15.1,13.0,14.4,10.9,4.2,21583
Vero Beach South,56421,Florida,5.5,5.8,5.0,5.8,6.0,3.9,11.3,9.6,15.3,13.9,12.7,7.6,3.6,23343
