City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Constantine,46364,Michigan,7.7,7.3,6.7,7.3,7.2,3.9,20.1,9.4,16.6,11.2,5.5,4.4,0.2,1760
Columbiaville,46250,Michigan,6.9,8.6,4.7,8.6,11.9,11.2,9.2,11.0,13.8,8.3,7.1,6.9,0.4,856
Lake Ann,46250,Michigan,4.9,7.5,5.2,7.5,2.6,3.8,9.0,8.2,22.5,14.2,12.0,6.4,3.8,267
Sturgis,46250,Michigan,9.7,8.9,8.1,8.9,6.5,8.4,12.0,13.6,12.6,8.2,5.7,3.5,2.8,10923
Corunna,46250,Michigan,5.6,5.9,4.9,5.9,8.0,9.0,13.7,14.2,13.8,8.3,6.5,5.9,4.2,3450
Rothbury,46250,Michigan,5.8,3.5,4.6,3.5,7.2,12.7,9.8,9.5,22.0,12.1,6.1,4.6,2.0,346
Kingston,46250,Michigan,5.8,7.2,6.5,7.2,8.3,8.6,15.1,13.2,11.1,9.5,7.2,5.6,2.1,432
Fowlerville,46176,Michigan,9.0,5.8,8.0,5.8,8.6,6.2,15.5,11.4,15.3,7.4,6.4,5.7,0.7,2929
Three Oaks,46146,Michigan,9.7,9.3,6.3,9.3,5.0,5.9,12.3,12.9,12.8,12.5,7.7,3.9,1.7,1685
Bay City,46130,Michigan,7.0,6.8,6.8,6.8,6.5,7.4,14.4,12.6,14.1,12.4,6.4,4.0,1.7,34578
Montrose,46058,Michigan,4.9,7.4,10.6,7.4,8.4,4.8,9.5,15.4,14.8,10.8,8.8,2.5,2.2,1735
Marlette,46008,Michigan,7.1,6.8,9.1,6.8,4.7,6.2,13.0,10.2,16.8,10.4,9.7,3.7,2.3,1646
Au Gres,45987,Michigan,5.8,5.6,9.0,5.6,2.1,0.8,10.5,5.5,16.8,19.2,14.5,7.7,2.8,782
Crystal Falls,45982,Michigan,8.0,5.1,5.3,5.1,5.9,4.3,9.3,10.5,13.9,16.5,10.3,8.9,1.9,1544
Kent City,45714,Michigan,10.2,7.7,9.7,7.7,8.1,5.1,14.7,14.3,12.7,10.6,3.2,2.5,1.2,1113
Laurium,45694,Michigan,8.3,8.6,7.8,8.6,8.2,3.7,13.6,12.5,11.1,12.3,5.2,7.0,1.8,2001
Morenci,45682,Michigan,7.2,4.7,6.8,4.7,9.4,10.2,11.3,14.2,12.4,11.6,7.5,3.1,1.7,2412
Sterling,45625,Michigan,6.1,4.8,6.1,4.8,5.2,3.0,10.7,13.6,15.3,11.6,9.9,4.1,9.8,543
Beulah,45625,Michigan,1.9,4.5,8.6,4.5,2.6,2.2,11.6,4.9,6.7,18.3,26.1,10.8,1.9,268
Homer,45521,Michigan,10.0,8.9,11.8,8.9,7.0,4.9,9.6,15.5,10.4,11.7,6.2,3.1,0.8,1793
Ovid,45500,Michigan,4.2,9.4,8.3,9.4,4.8,2.8,13.8,15.6,14.2,10.5,6.8,6.7,2.9,1594
Lake City,45500,Michigan,6.0,4.0,6.2,4.0,11.0,6.8,14.7,11.6,14.1,10.4,8.2,4.7,2.3,1000
Allegan,45483,Michigan,8.0,6.3,6.4,6.3,6.0,7.9,12.9,11.3,16.1,9.6,8.5,4.9,2.2,5030
Fostoria,45417,Michigan,3.2,5.2,3.9,5.2,7.1,6.3,17.1,12.8,11.9,19.3,11.0,1.7,0.7,539
Sand Lake,45375,Michigan,2.4,1.4,4.0,1.4,5.3,3.8,5.3,7.1,12.3,24.8,20.1,11.7,1.8,1535
Center Line,45263,Michigan,4.8,4.2,10.0,4.2,5.0,5.9,11.5,12.6,14.5,13.9,9.6,4.4,3.6,8279
Ypsilanti,45229,Michigan,5.2,4.1,3.1,4.1,15.1,23.1,15.4,9.6,8.7,7.4,4.5,2.3,1.4,19844
Coldwater,45224,Michigan,7.8,8.9,7.3,8.9,6.8,7.1,13.9,12.1,12.1,10.0,6.6,4.7,2.7,10863
Tawas City,45167,Michigan,4.9,3.6,2.6,3.6,8.2,3.9,9.5,8.7,16.1,16.3,11.3,8.8,6.4,1686
Manistee,44919,Michigan,6.8,7.4,4.4,7.4,5.5,6.3,11.7,9.0,14.4,14.6,11.0,5.9,3.1,6160
Bancroft,44886,Michigan,12.1,11.7,6.4,11.7,5.8,2.9,15.9,12.6,11.4,11.5,4.6,4.6,0.8,660
Croswell,44871,Michigan,7.5,8.1,7.7,8.1,10.7,4.9,11.8,11.8,14.0,13.3,5.0,2.8,2.5,2573
Nashville,44844,Michigan,3.9,9.7,8.7,9.7,10.0,7.9,11.6,10.4,15.8,10.4,6.7,3.9,1.0,1764
Otter Lake,44750,Michigan,4.7,3.5,8.2,3.5,6.5,9.0,6.7,13.4,12.9,21.6,9.0,3.5,1.0,402
Kalamazoo,44725,Michigan,5.2,6.2,5.2,6.2,11.1,20.8,14.1,10.2,9.0,8.7,4.4,2.8,2.4,75190
Marcellus,44643,Michigan,6.5,9.7,6.4,9.7,7.7,3.9,10.0,18.9,10.9,13.5,5.1,4.7,2.9,1024
Davison,44508,Michigan,5.5,7.2,8.0,7.2,4.7,6.4,11.3,14.4,13.7,13.2,8.3,5.2,2.2,5085
Chesaning,44469,Michigan,7.8,6.8,8.8,6.8,4.3,6.2,8.1,12.4,13.3,15.3,10.0,4.6,2.6,2412
Litchfield,44464,Michigan,8.3,5.7,4.6,5.7,7.0,9.8,10.4,12.1,15.7,12.5,7.2,5.1,1.8,1257
East Jordan,44306,Michigan,5.5,9.6,5.7,9.6,6.9,5.6,13.4,10.0,15.7,12.2,8.1,5.2,2.0,2335
Howard City,44231,Michigan,8.0,10.6,8.5,10.6,6.3,8.9,12.9,11.5,13.6,10.9,4.2,3.2,1.5,1849
Hillsdale,44167,Michigan,6.6,6.4,4.6,6.4,13.3,15.0,12.0,8.6,9.5,9.6,6.8,4.1,3.5,8222
Sanford,44135,Michigan,3.8,7.1,5.5,7.1,7.3,2.1,11.5,12.0,15.8,20.6,6.5,5.4,2.5,950
North Adams,44102,Michigan,4.9,8.8,10.1,8.8,8.8,4.4,13.9,14.5,12.2,8.2,7.9,4.9,1.4,634
Quincy,44063,Michigan,5.9,7.2,9.2,7.2,6.4,9.0,16.4,13.3,12.7,12.7,4.4,2.1,0.8,1650
Omer,43929,Michigan,10.2,5.9,4.1,5.9,4.7,4.7,18.4,14.6,5.6,11.7,6.4,12.6,1.2,342
Muir,43854,Michigan,11.3,11.5,7.4,11.5,3.1,4.6,15.6,13.2,13.2,8.6,6.4,3.1,1.9,582
Ontonagon,43839,Michigan,3.1,3.6,3.5,3.6,4.1,3.9,7.3,6.9,16.1,20.4,18.5,7.8,4.9,1457
Saint Ignace,43811,Michigan,4.1,7.3,7.7,7.3,4.6,6.2,13.2,11.0,13.8,13.1,8.6,5.8,4.6,2615
Brethren,43750,Michigan,0.6,4.0,11.0,4.0,6.1,1.2,3.1,14.4,14.4,23.9,15.9,4.9,0.6,327
Fountain,43750,Michigan,8.7,9.9,6.2,9.9,6.2,6.8,10.6,8.1,15.5,13.7,8.1,5.6,0.6,161
Jasper,43750,Michigan,3.0,17.1,7.7,17.1,5.5,4.5,11.9,14.4,14.9,12.4,6.0,2.2,0.5,403
Applegate,43750,Michigan,7.0,7.3,8.6,7.3,11.2,9.6,11.2,12.4,13.1,9.9,4.5,4.8,0.6,314
Sand Lake village,43750,Michigan,9.9,8.2,5.6,8.2,4.2,5.6,14.9,8.0,20.7,11.3,4.6,6.0,1.2,503
Big Rapids,43641,Michigan,2.8,2.4,4.1,2.4,22.5,30.5,11.5,5.9,7.9,5.2,3.9,2.1,1.2,10543
Elsie,43611,Michigan,4.6,6.1,3.7,6.1,5.9,7.5,17.6,6.1,15.1,17.6,9.7,4.3,2.1,1007
Caspian,43571,Michigan,3.4,3.4,5.2,3.4,7.7,2.4,5.7,9.0,16.0,23.2,7.6,11.1,5.3,790
Lansing,43543,Michigan,7.6,6.4,6.2,6.4,6.0,10.9,17.0,12.5,12.2,11.3,5.8,3.2,1.2,114382
Cadillac,43478,Michigan,8.1,5.9,6.2,5.9,5.1,6.6,13.1,11.5,12.9,12.6,8.4,6.1,3.4,10306
Eastwood,43444,Michigan,5.8,7.9,10.5,7.9,8.6,6.8,15.7,13.8,11.7,10.8,5.8,2.0,0.8,6734
Hubbell,43409,Michigan,8.2,8.2,8.9,8.2,6.2,5.2,13.3,13.3,15.4,7.7,5.9,2.9,5.1,1068
Rogers City,43400,Michigan,3.5,4.7,4.0,4.7,4.9,5.1,9.2,11.1,13.7,12.7,13.1,13.1,5.1,2774
Deckerville,43393,Michigan,8.5,5.4,7.4,5.4,7.8,7.8,10.0,9.8,13.1,12.5,4.2,5.7,8.0,903
Galesburg,43229,Michigan,5.6,7.0,6.7,7.0,5.5,7.4,11.7,13.9,17.0,11.8,5.8,5.1,2.4,1876
Ludington,43165,Michigan,6.0,7.2,5.5,7.2,4.1,6.3,12.5,11.2,12.9,13.8,8.3,8.8,3.4,8061
Springfield,43115,Michigan,5.3,6.4,9.1,6.4,4.0,6.8,17.3,12.3,14.5,13.0,5.8,4.3,1.3,5231
Michigan Center,43072,Michigan,2.4,7.2,10.3,7.2,5.3,6.4,12.0,14.1,14.4,12.7,9.4,3.9,1.9,4586
Wakefield,43068,Michigan,2.9,5.9,4.6,5.9,5.5,2.6,12.5,7.8,13.6,14.7,14.8,9.6,5.6,1837
Addison,43000,Michigan,11.9,6.9,8.2,6.9,6.5,4.6,13.9,5.9,15.5,17.1,3.5,5.7,0.5,650
Millington,42955,Michigan,7.6,4.7,7.5,4.7,9.3,6.8,10.1,13.6,12.3,12.0,9.9,3.9,2.5,934
Custer,42917,Michigan,5.3,4.5,9.3,4.5,8.1,2.0,11.7,9.3,17.4,14.6,9.3,4.5,4.1,247
Springport,42857,Michigan,8.8,7.2,7.4,7.2,10.2,5.5,10.6,12.6,15.2,10.7,7.8,2.1,2.0,748
Union City,42826,Michigan,6.8,8.0,11.0,8.0,7.2,6.0,12.0,12.6,14.8,10.8,5.3,3.8,1.6,1622
Republic,42750,Michigan,3.9,3.6,7.5,3.6,5.3,4.7,7.1,15.6,19.8,5.9,16.2,6.7,3.9,494
Kaleva,42589,Michigan,4.1,7.7,3.6,7.7,2.4,8.1,4.9,17.3,18.8,20.5,9.8,1.5,1.5,469
Harbor Beach,42500,Michigan,4.8,9.3,6.9,9.3,4.3,5.8,11.5,10.1,14.9,12.8,11.1,5.6,3.2,1780
Fairgrove,42443,Michigan,5.3,5.5,8.0,5.5,6.4,4.7,15.4,8.8,12.9,13.9,11.3,3.9,3.9,488
Lake Michigan Beach,42222,Michigan,2.5,1.8,15.6,1.8,4.3,1.7,5.2,12.6,9.9,22.2,18.1,3.6,2.5,1153
Clifford,42188,Michigan,1.3,5.6,7.5,5.6,9.4,3.4,11.6,9.7,24.1,12.8,8.8,3.1,2.8,320
Kalkaska,42026,Michigan,9.8,6.2,5.1,6.2,6.6,3.3,18.4,11.7,8.1,16.6,6.2,4.6,3.5,2176
Parchment,41944,Michigan,6.7,6.5,7.5,6.5,4.7,6.6,14.7,11.4,17.0,12.4,6.2,3.4,3.0,1867
Honor,41750,Michigan,6.2,9.3,8.3,9.3,2.8,5.2,15.5,6.2,12.4,13.8,13.1,6.5,1.0,291
Iron River,41727,Michigan,1.7,5.7,7.4,5.7,6.1,2.2,7.8,11.7,14.1,13.7,13.2,6.1,10.4,2979
Brown City,41705,Michigan,5.7,6.1,8.5,6.1,7.8,7.6,11.8,10.1,14.9,14.6,7.4,4.6,0.9,1243
Lawrence,41625,Michigan,8.5,7.5,11.6,7.5,5.3,7.2,13.6,10.4,11.7,13.1,6.8,2.9,1.4,1049
Baraga,41563,Michigan,2.8,2.8,1.4,2.8,1.8,12.8,33.1,17.3,15.8,6.7,3.8,0.8,0.9,2875
Alpena,41429,Michigan,6.8,4.6,6.2,4.6,6.3,7.7,11.5,10.6,15.2,12.0,9.3,6.4,3.4,10336
Adrian,41318,Michigan,5.9,7.6,5.6,7.6,10.0,11.4,12.4,11.6,10.8,10.5,7.1,5.0,2.3,21008
Mcbain,41250,Michigan,7.2,7.5,4.0,7.5,6.5,7.2,18.6,4.8,10.5,8.2,6.2,10.1,9.2,694
Carson City,41250,Michigan,6.6,6.0,6.7,6.0,6.6,7.5,11.4,5.7,13.4,12.0,10.4,9.6,4.2,1080
Greenville,41250,Michigan,7.9,8.1,8.4,8.1,6.6,3.7,16.5,11.3,10.5,9.4,8.6,7.0,2.0,8434
Newaygo,41250,Michigan,8.7,8.8,9.4,8.8,7.2,6.9,15.8,8.7,7.7,11.1,7.6,5.7,2.5,1986
Niles,41154,Michigan,9.1,8.7,6.9,8.7,5.1,6.7,13.6,9.7,13.5,12.0,7.9,4.1,2.7,11479
Gobles,41111,Michigan,2.6,5.5,5.8,5.5,12.1,8.3,7.0,13.5,15.3,17.3,4.2,6.2,2.4,763
Cedar Springs,40721,Michigan,10.0,7.5,6.9,7.5,6.7,6.2,15.4,11.3,18.8,6.5,5.6,2.5,2.8,3544
Otisville,40625,Michigan,3.5,3.6,5.1,3.6,7.1,2.8,7.8,12.3,16.4,15.8,11.5,9.5,4.5,798
Gagetown,40625,Michigan,3.5,7.6,5.4,7.6,3.5,8.2,9.8,13.6,20.1,13.0,6.0,6.8,2.5,368
Pellston,40526,Michigan,6.6,7.0,9.4,7.0,9.0,3.1,10.4,14.2,22.4,11.7,3.5,1.9,0.8,881
Tekonsha,40521,Michigan,5.5,8.6,5.1,8.6,5.1,4.3,11.6,10.9,16.4,13.1,13.2,4.6,1.6,672
Gaastra,40469,Michigan,8.2,4.4,5.4,4.4,2.5,7.2,20.1,7.9,10.1,11.6,12.0,7.9,2.8,318
Port Huron,40381,Michigan,6.5,7.0,7.7,7.0,6.6,6.8,13.8,12.3,13.4,11.5,8.0,4.6,2.1,29534
Three Rivers,40368,Michigan,8.7,8.4,7.9,8.4,5.6,7.6,19.0,10.2,10.8,10.5,5.0,3.4,3.0,7765
Shelby,40329,Michigan,8.7,11.4,6.6,11.4,8.8,8.3,9.2,11.4,13.3,9.0,6.8,4.4,2.1,1793
Manistique,40156,Michigan,5.3,7.1,5.9,7.1,5.9,3.7,11.5,14.2,12.8,12.9,8.4,7.8,4.6,3043
Farwell,40089,Michigan,2.1,4.9,5.1,4.9,8.9,3.3,6.7,13.0,18.3,13.5,12.1,7.4,4.9,733
Cassopolis,40074,Michigan,8.5,8.8,5.9,8.8,12.4,10.4,9.9,10.2,11.7,7.7,8.0,5.1,1.3,1770
Camden,40000,Michigan,7.7,8.4,8.9,8.4,6.8,13.5,13.4,8.7,14.2,11.6,5.2,1.4,0.4,562
Burlington,40000,Michigan,6.2,6.2,7.0,6.2,6.2,7.3,13.2,14.3,12.5,17.2,6.6,2.2,1.1,273
Dowagiac,39872,Michigan,8.1,9.9,7.6,9.9,6.8,4.3,15.8,12.4,11.7,9.2,8.2,3.4,2.5,5822
Melvindale,39855,Michigan,6.7,8.2,5.9,8.2,8.8,6.4,14.6,11.9,14.9,10.6,7.0,3.4,1.7,10584
Edwardsburg,39712,Michigan,6.3,5.7,11.0,5.7,9.3,10.8,13.7,10.4,11.4,11.0,6.3,2.7,1.5,1232
Owosso,39647,Michigan,6.4,6.1,8.6,6.1,6.7,9.5,15.6,10.3,13.3,10.7,6.6,4.6,1.6,14922
Bronson,39539,Michigan,8.5,8.6,9.8,8.6,9.6,6.2,12.9,13.6,11.1,8.8,6.9,3.1,0.9,2420
Hazel Park,39513,Michigan,6.6,6.2,7.0,6.2,4.6,7.9,15.3,12.7,13.9,14.1,6.3,4.0,1.5,16532
Eau Claire,39479,Michigan,10.7,6.5,9.0,6.5,10.5,9.0,11.4,8.6,15.8,10.9,3.9,2.6,1.1,569
Bangor,39453,Michigan,8.4,9.4,4.6,9.4,6.9,5.4,13.6,10.3,16.2,12.3,6.5,5.0,1.4,2026
Clare,39397,Michigan,10.8,5.3,4.1,5.3,4.5,11.3,13.9,9.6,12.4,11.1,8.1,5.1,3.9,3056
Vermontville,39375,Michigan,7.8,14.2,9.1,14.2,4.5,4.6,13.8,12.3,12.3,8.4,5.9,5.4,1.8,782
Ironwood,39375,Michigan,4.3,5.4,5.5,5.4,5.0,6.9,9.3,12.6,13.8,15.9,9.0,7.4,4.8,5237
Saint Louis,39297,Michigan,6.0,2.8,3.1,2.8,3.3,13.0,22.7,16.3,15.0,8.7,5.3,2.1,1.9,7347
Harrison,39271,Michigan,7.9,4.0,4.0,4.0,5.3,10.7,14.2,12.8,10.7,14.7,7.8,6.2,1.8,2128
Robin Glen-Indiantown,39250,Michigan,8.1,10.4,6.8,10.4,11.2,12.6,15.3,6.0,17.7,5.2,2.1,3.9,0.7,894
Carney,39250,Michigan,2.9,5.8,4.7,5.8,7.3,5.1,13.1,11.0,21.2,9.9,7.3,7.3,4.4,274
West Monroe,39167,Michigan,3.5,8.3,7.2,8.3,8.5,9.8,13.2,13.1,11.5,13.4,7.4,3.5,0.7,3248
West Branch,39167,Michigan,8.1,6.4,3.7,6.4,6.6,6.9,9.3,10.7,10.2,14.5,8.1,7.6,7.8,2051
Elkton,39097,Michigan,8.5,7.8,12.3,7.8,5.2,5.3,15.6,13.4,10.0,9.1,7.8,3.8,1.3,871
Hillman,38977,Michigan,1.9,3.6,6.2,3.6,3.6,7.8,6.9,7.8,10.8,15.5,13.1,10.9,11.9,723
Gladwin,38690,Michigan,6.4,7.6,5.4,7.6,7.7,4.1,10.6,11.0,11.1,12.5,11.9,7.1,4.7,2928
Morley,38558,Michigan,4.1,6.3,12.7,6.3,12.5,6.8,12.7,17.5,9.2,9.9,4.2,2.7,1.6,710
Brutus,38250,Michigan,2.9,5.2,9.9,5.2,8.7,4.1,6.4,11.6,15.1,19.2,11.1,4.1,1.7,172
Mancelona,38239,Michigan,8.3,7.9,9.2,7.9,7.2,4.7,17.2,11.0,12.8,10.4,6.2,3.3,1.9,1661
Bad Axe,38125,Michigan,7.5,3.3,5.2,3.3,6.9,6.4,12.0,8.5,13.6,13.2,11.9,6.8,4.6,3082
Wolverine,38125,Michigan,4.0,4.9,4.9,4.9,6.7,3.6,21.5,7.2,17.0,11.2,9.4,7.6,1.8,223
Newberry,38125,Michigan,7.7,7.1,7.5,7.1,5.8,2.5,12.3,11.1,17.6,11.7,7.7,5.6,3.6,1633
Onaway,38056,Michigan,11.0,5.4,3.5,5.4,7.4,11.8,10.1,6.2,17.1,12.8,8.6,5.1,1.1,829
Bloomingdale,37917,Michigan,9.6,5.2,8.2,5.2,5.9,6.5,13.2,12.4,14.4,13.9,6.2,2.5,2.0,612
Akron,37875,Michigan,2.3,5.8,9.8,5.8,13.4,6.1,11.8,13.4,15.4,8.8,7.8,5.0,0.5,397
Clayton,37813,Michigan,13.8,9.8,4.2,9.8,8.2,6.7,16.0,13.2,8.4,8.7,6.2,2.5,2.3,356
Perrinton,37679,Michigan,5.7,10.5,11.7,10.5,5.7,7.1,13.1,13.5,10.7,9.7,7.5,4.4,0.6,496
Ossineke,37667,Michigan,4.0,7.6,8.2,7.6,6.6,2.3,14.5,8.2,14.0,19.4,11.1,3.4,0.6,996
Mio,37543,Michigan,4.5,8.0,5.9,8.0,8.4,9.6,8.2,10.2,14.8,12.7,7.9,7.6,2.1,1943
Rosebush,37500,Michigan,12.3,5.6,4.6,5.6,6.2,10.7,10.5,12.3,9.4,9.7,3.5,9.1,6.2,373
Walkerville,37500,Michigan,6.3,4.4,7.0,4.4,5.7,3.8,6.3,11.4,21.5,10.8,14.6,6.3,1.9,158
Manton,37443,Michigan,11.0,8.2,6.9,8.2,5.8,8.0,13.1,10.2,11.3,12.0,5.3,4.9,3.4,1315
Lewiston,37396,Michigan,4.9,7.2,9.2,7.2,3.6,0.8,11.4,7.0,10.6,18.0,11.1,11.1,5.0,1329
Twining,37344,Michigan,11.8,1.8,10.7,1.8,11.2,8.9,11.8,5.9,19.5,11.2,3.6,1.8,1.8,169
Ionia,37335,Michigan,6.7,3.7,3.8,3.7,6.3,13.3,18.7,16.9,13.5,9.4,3.4,3.4,1.1,11388
Standish,37250,Michigan,4.3,4.4,7.7,4.4,8.6,8.8,15.8,13.3,15.0,8.4,5.6,4.0,4.1,1742
Decatur,37198,Michigan,8.4,6.5,6.8,6.5,9.1,7.1,13.4,12.0,14.1,11.0,5.0,4.7,2.0,2095
Waldron,37143,Michigan,10.4,8.6,8.6,8.6,6.2,5.3,12.0,13.3,16.5,8.1,4.4,5.5,1.3,618
Henderson,37083,Michigan,4.2,2.6,19.5,2.6,2.6,7.9,10.5,15.5,7.6,12.9,6.1,7.4,3.2,380
Oscoda,36944,Michigan,1.4,4.5,9.4,4.5,10.0,0.6,0.7,12.0,28.9,9.2,11.0,9.9,2.4,807
North Branch,36875,Michigan,5.5,9.0,8.4,9.0,6.8,5.8,13.3,13.0,9.2,16.1,5.1,5.3,2.5,979
Scottville,36875,Michigan,10.8,8.5,5.9,8.5,9.8,6.6,9.7,11.8,11.6,12.7,6.7,4.3,1.8,1209
Thompsonville,36875,Michigan,6.5,3.3,6.5,3.3,5.4,7.6,15.9,11.0,14.6,12.1,7.0,8.7,1.4,554
Lapeer,36840,Michigan,3.9,6.5,6.9,6.5,7.4,6.0,15.7,13.3,13.4,11.7,8.0,4.5,2.7,8801
Saint Helen,36786,Michigan,3.0,4.5,3.5,4.5,5.4,7.4,6.6,8.9,13.9,21.0,15.1,8.6,2.2,2774
Marenisco,36667,Michigan,2.2,4.3,5.2,4.3,3.0,4.8,3.0,5.2,19.5,13.9,21.2,15.2,2.6,231
Pinconning,36528,Michigan,4.5,7.9,7.8,7.9,7.4,4.4,14.1,10.4,14.1,12.2,10.5,4.5,2.4,1380
Chatham,36250,Michigan,2.2,5.3,9.3,5.3,9.7,0.4,4.9,6.6,20.7,9.3,10.1,16.7,4.9,227
Atlanta,36196,Michigan,5.3,1.2,4.6,1.2,7.6,5.6,7.8,11.3,14.6,21.9,10.8,3.5,5.9,896
South Boardman,36125,Michigan,5.1,11.6,8.1,11.6,6.0,10.2,13.5,9.6,15.1,12.3,6.7,1.1,1.1,571
Ecorse,35864,Michigan,8.4,7.1,7.2,7.1,6.5,6.5,9.4,15.8,12.5,12.7,7.7,3.5,2.7,9401
Coleman,35750,Michigan,6.9,5.3,4.8,5.3,6.9,9.3,11.5,9.1,14.6,11.4,10.2,6.1,3.9,1162
Bear Lake village,35625,Michigan,6.0,9.0,4.9,9.0,7.9,1.9,16.5,8.6,11.6,14.6,10.9,3.4,4.9,267
Lincoln,35625,Michigan,6.4,6.4,5.7,6.4,9.1,3.7,8.8,5.1,13.1,15.5,11.8,9.1,5.4,297
Clio,35526,Michigan,6.1,6.7,6.8,6.7,5.7,5.7,13.4,17.3,10.0,12.7,8.8,4.8,2.0,2601
Millersburg,35500,Michigan,4.5,3.5,4.5,3.5,12.6,1.5,11.6,9.1,13.6,10.6,11.6,9.1,8.0,199
Fennville,35455,Michigan,9.5,10.5,13.3,10.5,7.3,5.0,18.4,9.4,8.3,11.2,5.2,1.5,0.4,1757
Grayling,35417,Michigan,6.1,4.4,6.8,4.4,6.9,6.7,11.5,8.5,15.6,12.1,8.7,7.7,5.1,1798
Hartford,35292,Michigan,9.6,13.0,7.0,13.0,9.7,8.4,10.9,13.9,9.3,8.6,5.2,4.0,0.6,2660
Wolf Lake,35139,Michigan,9.6,7.2,6.7,7.2,6.3,9.2,13.6,9.5,11.8,13.2,6.7,4.3,1.9,4360
Inkster,34931,Michigan,8.7,8.2,7.9,8.2,7.0,7.4,13.2,12.4,12.7,11.6,6.3,3.5,1.2,25056
Saginaw,34670,Michigan,7.0,7.5,7.1,7.5,8.3,7.7,12.4,12.0,13.9,12.8,5.8,3.6,2.0,50700
Rapid City,34635,Michigan,4.4,4.6,7.6,4.6,6.5,6.5,9.1,15.0,16.2,13.0,11.3,5.2,0.7,1490
Vandalia,34375,Michigan,4.4,3.7,4.7,3.7,9.0,7.1,4.4,16.2,18.0,13.4,6.5,4.7,8.1,322
Brownlee Park,34282,Michigan,6.6,8.2,6.6,8.2,8.0,6.6,13.5,15.9,13.5,9.9,6.6,3.2,1.5,2016
Reading,34063,Michigan,8.9,6.5,9.2,6.5,11.3,4.5,11.7,17.0,13.4,9.0,4.0,3.4,1.1,1244
Mecosta,34000,Michigan,5.5,3.9,11.7,3.9,12.4,8.4,12.4,10.1,14.7,9.4,7.8,1.6,2.0,563
Mesick,33906,Michigan,3.7,7.7,11.9,7.7,6.1,6.9,12.1,7.7,19.3,10.3,4.5,7.1,2.9,379
Luther,33750,Michigan,5.5,10.3,8.1,10.3,6.7,9.9,12.2,9.2,11.3,12.4,11.7,1.2,1.6,435
Free Soil,33750,Michigan,4.4,8.0,2.2,8.0,5.1,1.5,11.6,5.8,18.8,21.7,14.5,4.4,2.2,138
Carsonville,33571,Michigan,12.8,13.6,8.5,13.6,2.0,4.9,10.7,6.7,13.6,13.6,5.7,5.7,2.4,494
Copper City,33438,Michigan,10.7,3.2,13.0,3.2,6.3,10.3,11.1,16.6,10.3,7.1,5.9,4.4,1.2,253
Houghton Lake,33382,Michigan,3.7,2.3,2.8,2.3,4.9,2.9,9.1,9.5,17.2,19.9,13.2,10.0,4.5,2926
Stanton,33375,Michigan,5.8,7.4,10.7,7.4,7.2,5.3,15.4,12.4,10.0,10.9,5.9,6.5,2.5,1589
Kinde,33214,Michigan,11.5,3.5,4.1,3.5,7.4,3.9,12.7,11.7,11.3,12.5,12.3,5.3,3.9,488
Hesperia,33203,Michigan,5.1,8.8,7.6,8.8,4.6,6.5,18.3,11.0,9.9,12.5,7.8,6.2,1.9,911
Posen,33125,Michigan,3.8,8.0,11.3,8.0,5.4,3.4,13.8,13.0,13.4,9.6,6.7,9.2,2.5,239
Whittemore,33125,Michigan,5.2,5.2,5.2,5.2,5.0,6.3,7.9,10.4,13.8,21.0,7.7,10.4,1.8,442
Vanderbilt,33056,Michigan,3.6,7.6,3.9,7.6,7.4,2.3,10.2,11.8,18.9,18.6,5.9,7.4,2.5,609
Powers,32917,Michigan,3.4,2.5,3.4,2.5,2.8,3.2,7.8,9.2,13.1,10.8,20.2,6.0,17.7,436
Albion,32863,Michigan,7.7,5.0,5.0,5.0,11.3,13.9,10.1,10.0,9.6,12.1,7.8,4.4,3.1,8416
Edmore,32625,Michigan,4.8,7.4,8.4,7.4,6.9,12.0,12.1,12.6,11.9,8.9,7.6,4.4,3.1,1219
Port Austin,32500,Michigan,1.3,5.3,5.2,5.3,5.5,3.8,5.2,9.4,13.9,18.3,18.6,9.5,4.2,715
Paw Paw,32153,Michigan,5.8,8.0,3.4,8.0,8.1,6.8,16.6,9.8,19.1,13.6,4.8,3.3,0.7,3494
Alba,32143,Michigan,9.8,1.9,1.9,1.9,1.9,14.2,8.2,7.2,17.6,18.6,10.7,6.6,1.6,318
Muskegon,31747,Michigan,7.4,6.0,5.6,6.0,6.8,9.3,14.9,12.2,14.0,12.0,5.5,4.0,2.2,37822
Grant,31719,Michigan,8.8,6.7,5.7,6.7,7.8,5.4,13.1,12.0,15.0,9.4,7.9,4.0,4.3,809
Jackson,31576,Michigan,9.0,8.5,7.4,8.5,6.9,7.5,16.3,11.6,11.7,10.5,6.0,3.1,1.5,33317
Detroit,31566,Michigan,7.1,6.7,7.2,6.7,7.9,8.6,12.4,12.4,13.3,12.3,6.6,3.8,1.7,695437
