City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
South Monroe,54146,Michigan,4.4,4.2,7.9,4.2,7.0,7.5,5.8,15.4,13.3,13.9,9.6,6.6,4.6,6622
Eastlake Village,54063,Michigan,1.2,3.0,8.7,3.0,2.8,1.8,6.1,7.7,14.5,24.6,18.2,8.7,2.8,496
Estral Beach,53977,Michigan,4.6,6.1,2.2,6.1,7.1,7.1,8.4,6.9,16.5,27.5,9.5,2.4,1.7,462
Perry,53889,Michigan,5.9,8.1,9.1,8.1,3.9,6.4,11.8,17.1,16.0,11.5,5.0,3.1,2.0,1923
Ashley,53750,Michigan,1.4,8.0,6.6,8.0,3.4,5.0,8.6,13.0,14.2,11.6,12.6,7.2,8.6,501
New Troy,53750,Michigan,4.8,5.7,10.9,5.7,11.1,3.4,5.4,18.1,15.8,9.0,11.5,3.4,0.9,558
Unionville,53636,Michigan,1.6,5.1,5.6,5.1,5.4,3.1,9.6,10.7,17.2,16.9,8.9,13.8,2.2,449
Bessemer,53603,Michigan,6.0,4.1,5.1,4.1,7.8,9.0,8.5,7.2,17.6,17.4,9.7,5.7,2.2,1974
Quinnesec,53353,Michigan,1.3,2.0,10.1,2.0,11.5,1.8,4.4,15.4,12.2,20.5,13.9,4.5,2.4,1105
Houghton,53333,Michigan,2.8,2.9,3.0,2.9,16.4,37.9,10.0,7.3,5.2,5.1,5.3,2.3,1.8,7897
Lennon,53333,Michigan,4.2,6.9,4.9,6.9,4.9,5.2,9.1,13.2,18.6,17.2,10.5,3.9,1.5,408
Bay Port,53333,Michigan,0.7,5.6,4.7,5.6,5.8,5.8,13.1,10.3,17.0,21.0,8.4,7.0,0.7,429
Hudson,53250,Michigan,7.7,7.7,9.0,7.7,9.4,7.5,11.7,12.7,14.4,12.9,3.4,2.8,0.8,2431
