Experiment,College,College_Abbrev,Town,County,State,Latitude,Longitude,Treatment,Preexisting_College,Politics,Existing_Site,Auction,Weather,Other,Year_Experiment,Year_Founded,Year_First_Class,Year_First_Graduates,Public,State_Flagship,Land_Grant,Technical_School,Normal_School,HBCU,Womens_College,Military_Academy,Loser_Receive_Consolation,Consolation_Prize,Value_Consolation,Value_State_Grant,Value_Local_Contribution,Local_Donate_Building,Votes_Received,Number of Ballots,Experiment_Quality
DeniU,Denison University,DeniU,Wooster,Wayne,Ohio,40.809167,-81.937222,0,,,,1,,,1831,1831,1832,,,,,,,,,,,,,,,,,,1
DeniU,Denison University,DeniU,Frankfort,Ross,Ohio,39.405556,-83.182222,0,,,,1,,,1831,1831,1832,,,,,,,,,,,,,,,,,,1
KentSU,Kent State University,KentSU,Kent,Portage,Ohio,41.15,-81.36,1,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,2
KentSU,Kent State University,KentSU,Ravenna,Portage,Ohio,41.158611,-81.243333,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,2
KentSU,Kent State University,KentSU,Wadsworth,Medina,Ohio,41.027778,-81.729722,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,2
KentSU,Kent State University,KentSU,Warren,Trumbull,Ohio,41.238333,-80.814444,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,2
KentSU,Kent State University,KentSU,Ashtabula,Ashtabula,Ohio,41.877222,-80.796944,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,1
KentSU,Kent State University,KentSU,Geneva,Ashtabula,Ohio,41.805,-80.948056,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,1
KentSU,Kent State University,KentSU,Canton,Stark,Ohio,40.805,-81.375833,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,1
KentSU,Kent State University,KentSU,Massillon,Stark,Ohio,40.796667,-81.521389,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,1
KentSU,Kent State University,KentSU,Chagrin Falls,Cayuhoga,Ohio,41.431111,-81.388611,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,1
