Experiment,College,College_Abbrev,Town,County,State,Latitude,Longitude,Treatment,Preexisting_College,Politics,Existing_Site,Auction,Weather,Other,Year_Experiment,Year_Founded,Year_First_Class,Year_First_Graduates,Public,State_Flagship,Land_Grant,Technical_School,Normal_School,HBCU,Womens_College,Military_Academy,Loser_Receive_Consolation,Consolation_Prize,Value_Consolation,Value_State_Grant,Value_Local_Contribution,Local_Donate_Building,Votes_Received,Number of Ballots,Experiment_Quality
UNH,University of New Hampshire,UNH,Tilton,Belknap,New Hampshire,43.442222,-71.589444,0,,,,1,,,1891,1891,1893,,1,1,1,,,,,,,,,,40000,,,,2
UNH,University of New Hampshire,UNH,Hanover,Grafton,New Hampshire,43.702222,-72.289444,0,1,,,1,,,1891,1891,1893,,1,1,1,,,,,,,,,,,,,,1
MontSU,Montclair State University,MontSU,Montclair,Essex,New Jersey,40.824415,-74.212352,1,,,,1,,,1904,1904,1908,,1,,,,1,,,,,,,,,,,,1
MontSU,Montclair State University,MontSU,,Bergen,New Jersey,40.96,-74.07,0,,,,1,,,1904,1904,1908,,1,,,,1,,,,,,,,,,,,1
MontSU,Montclair State University,MontSU,,Hudson,New Jersey,40.73,-74.08,0,,,,1,,,1904,1904,1908,,1,,,,1,,,,,,,,,,,,1
MontSU,Montclair State University,MontSU,,Morris,New Jersey,40.87,-74.55,0,,,,1,,,1904,1904,1908,,1,,,,1,,,,,,,,,,,,1
MontSU,Montclair State University,MontSU,,Passaic,New Jersey,41.03,-74.3,0,,,,1,,,1904,1904,1908,,1,,,,1,,,,,,,,,,,,1
MontSU,Montclair State University,MontSU,,Sussex,New Jersey,41.14,-74.69,0,,,,1,,,1904,1904,1908,,1,,,,1,,,,,,,,,,,,1
MontSU,Montclair State University,MontSU,,Union,New Jersey,40.65,-74.29,0,,,,1,,,1904,1904,1908,,1,,,,1,,,,,,,,,,,,1
RutU,Rutgers University,RutU,New Brunswick,Middlesex,New Jersey,40.486678,-74.444414,1,1,,,,,,1771,1766,,,1,1,1,,,,,,,,,,,,,,2
RutU,Rutgers University,RutU,Hackensack,Bergen,New Jersey,40.889398,-74.045698,0,1,,,,,,1771,1766,,,1,1,1,,,,,,,,,,,,,,2
TCNJ,The College of New Jersey,TCNJ,Trenton,Mercer,New Jersey,40.223748,-74.764001,1,,,,1,,,1855,1855,1855,,1,,,,1,,,,,,,,14000,1,,,2
TCNJ,The College of New Jersey,TCNJ,New Brunswick,Middlesex,New Jersey,40.486678,-74.444414,0,1,,,1,,,1855,1855,1855,,1,,,,1,,,,,,,,10000,1,,,2
TCNJ,The College of New Jersey,TCNJ,Orange,Essex,New Jersey,40.76804,-74.235692,0,1,,,1,,,1855,1855,1855,,1,,,,1,,,,,,,,,1,,,2
TCNJ,The College of New Jersey,TCNJ,Beverly,Burlington,New Jersey,40.064811,-74.921904,0,,,,1,,,1855,1855,1855,,1,,,,1,,,,,,,,,1,,,2
NMSU,New Mexico State University,NMSU,Las Cruces,Dona Ana,New Mexico,32.314444,-106.778889,1,1,1,,,,,1889,1889,1890,,1,,1,,,,,,1,Land Grant College,,,,,,,2
NMSU,New Mexico State University,NMSU,Socorro,Socorro,New Mexico,34.061667,-106.899444,0,,1,,,,,1889,1889,1890,,1,,1,,,,,,1,Technical College,,,,,,,2
NMSU,New Mexico State University,NMSU,Albuquerque,Bernalillo,New Mexico,35.110833,-106.61,0,,1,,,,,1889,1889,1890,,1,,1,,,,,,1,Public University,,,,,,,2
NMSU,New Mexico State University,NMSU,Las Vegas,San Miguel,New Mexico,35.596944,-105.2225,0,,1,,,,,1889,1889,1890,,1,,1,,,,,,1,Asylum,,,,,,,2
NMT,New Mexico Tech,NMT,Socorro,Socorro,New Mexico,34.061667,-106.899444,1,,1,,,,,1889,1889,,,1,,,1,,,,,1,Technical College,,,,,,,2
NMT,New Mexico Tech,NMT,Las Cruces,Dona Ana,New Mexico,32.314444,-106.778889,0,,1,,,,,1889,1889,,,1,,,1,,,,,1,Land Grant College,,,,,,,2
NMT,New Mexico Tech,NMT,Albuquerque,Bernalillo,New Mexico,35.110833,-106.61,0,,1,,,,,1889,1889,,,1,,,1,,,,,1,Public University,,,,,,,2
NMT,New Mexico Tech,NMT,Las Vegas,San Miguel,New Mexico,35.596944,-105.2225,0,,1,,,,,1889,1889,,,1,,,1,,,,,1,Asylum,,,,,,,2
UNM,University of New Mexico,UNM,Albuquerque,Bernalillo,New Mexico,35.110833,-106.61,1,,1,,,,,1889,1889,1892,,1,1,,,,,,,1,Public University,,,,,,,2
UNM,University of New Mexico,UNM,Las Cruces,Dona Ana,New Mexico,32.314444,-106.778889,0,,1,,,,,1889,1889,1892,,1,1,,,,,,,1,Land Grant College,,,,,,,2
UNM,University of New Mexico,UNM,Socorro,Socorro,New Mexico,34.061667,-106.899444,0,,1,,,,,1889,1889,1892,,1,1,,,,,,,1,Technical College,,,,,,,2
UNM,University of New Mexico,UNM,Las Vegas,San Miguel,New Mexico,35.596944,-105.2225,0,,1,,,,,1889,1889,1892,,1,1,,,,,,,1,Asylum,,,,,,,2
ColgU,Colgate University,ColgU,Hamilton,Madison,New York,42.825556,-75.544722,1,,,,1,,,1819,1819,1820,,,,,,,,,,,,,,6000,,,,1
ColgU,Colgate University,ColgU,Peterboro,Madison,New York,42.967222,-75.688056,0,,,,1,,,1819,1819,1820,,,,,,,,,,,,,,,,,,1
ColgU,Colgate University,ColgU,Skaneateles,Onondaga,New York,42.946667,-76.428333,0,,,,1,,,1819,1819,1820,,,,,,,,,,,,,,10000,,,,1
ColgU,Colgate University,ColgU,Elbridge,Onondaga,New York,43.036667,-76.443333,0,,,,1,,,1819,1819,1820,,,,,,,,,,,,,,,,,,1
ColgU,Colgate University,ColgU,Fabius,Onondaga,New York,42.834722,-75.984722,0,,,,1,,,1819,1819,1820,,,,,,,,,,,,,,,,,,1
ColgU,Colgate University,ColgU,Throopsville,Cayuga,New York,42.979722,-76.609722,0,,,,1,,,1819,1819,1820,,,,,,,,,,,,,,,,,,1
ColgU,Colgate University,ColgU,Sangerfield,Oneida,New York,42.913889,-75.380833,0,,,,1,,,1819,1819,1820,,,,,,,,,,,,,,,,,,1
ColumU,Columbia University,ColumU,New York City,New York City,New York,40.7127,-74.0059,1,,,,,,,1752,1752,1754,,,,,,,,,,,,,,,,,,1
ColumU,Columbia University,ColumU,Newburgh,Orange,New York,41.519722,-74.021389,0,,,,,,,1752,1752,1754,,,,,,,,,,,,,,,,,,1
ColumU,Columbia University,ColumU,Rye,Westchester,New York,40.981111,-73.683889,0,,,,,,,1752,1752,1754,,,,,,,,,,,,,,,,,,1
ColumU,Columbia University,ColumU,Hempstead,Nassau,New York,40.704722,-73.617222,0,,,,,,,1752,1752,1754,,,,,,,,,,,,,,,,,,1
CornU,Cornell University,CornU,Ithaca,Tompkins,New York,42.443333,-76.5,1,,,,,,1,1865,1865,1868,,,,1,,,,,,1,Land Grant College,,,500000,,,,2
CornU,Cornell University,CornU,Syracuse,Onondaga,New York,43.046944,-76.144444,0,,,,,,1,1865,1865,1868,,,,1,,,,,,,,,,,,,,2
CornU,Cornell University,CornU,Havana,Schuyler,New York,,,0,1,,,,,1,1865,1865,1868,,,,1,,,,,,,,,,,,,,2
CornU,Cornell University,CornU,Montour Falls,Schuyler,New York,42.349167,-76.846389,0,1,,,,,1,1865,1865,1868,,,,1,,,,,,,,,,,,,,2
CornU,Cornell University,CornU,Ovid,Seneca,New York,42.655833,-76.789722,0,1,,,,,1,1865,1865,1868,,,,1,,,,,,1,Asylum,,,,,,,2
NYSMMA,New York State Merchant Marine Academy,NYSMMA,Fort Schuyler,Bronx,New York,40.805556,-73.791944,1,,1,1,,,,1933,1933,1938,,1,,,,,,,1,,,,,,,,,1
NYSMMA,New York State Merchant Marine Academy,NYSMMA,,Queens,New York,40.75,-73.866667,0,,1,1,,,,1933,1933,1938,,1,,,,,,,1,,,,,,,,,1
NYSMMA,New York State Merchant Marine Academy,NYSMMA,Lloyds Neck,Suffolk,New York,40.91,-73.456944,0,,1,1,,,,1933,1933,1938,,1,,,,,,,1,,,,,,,,,1
NYSMMA,New York State Merchant Marine Academy,NYSMMA,Cold Spring Harbor,Suffolk,New York,40.866667,-73.45,0,,1,1,,,,1933,1933,1938,,1,,,,,,,1,,,,,,,,,1
NYSMMA,New York State Merchant Marine Academy,NYSMMA,Clason Point,Bronx,New York,40.805656,-73.849582,0,,1,1,,,,1933,1933,1938,,1,,,,,,,1,,,,,,,,,1
SUNYES,SUNY College of Environmental Science and Forestry,SUNYES,Syracuse,Onondaga,New York,43.046944,-76.144444,1,,,1,,,,1912,1911,1911,,1,,,1,,,,,,,,,,,,,1
