City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Lincoln Village,60521,California,8.3,5.6,4.9,5.6,7.5,9.0,14.7,7.3,14.6,12.5,9.8,4.6,1.2,3996
Oakland,60472,California,6.5,5.6,5.5,5.6,5.7,6.8,17.7,15.7,12.9,11.8,6.5,3.4,1.8,402339
Byron,60250,California,5.5,7.1,9.4,7.1,10.6,1.5,16.5,7.8,14.8,9.4,4.4,11.0,2.1,1305
Monterey Park,60209,California,4.9,4.1,5.5,4.1,5.1,6.9,13.3,13.1,15.0,13.0,8.8,6.9,3.5,60966
Anza,60208,California,10.1,3.9,8.1,3.9,1.7,7.6,15.8,7.0,9.9,16.7,13.0,5.6,0.7,2356
Chico,60195,California,5.8,5.2,5.0,5.2,9.6,17.9,14.2,10.9,10.5,10.0,5.5,3.6,1.9,87517
Fillmore,60142,California,9.8,9.5,7.6,9.5,9.0,5.7,14.1,14.0,12.1,8.2,5.6,3.6,0.7,15203
Collierville,60096,California,3.5,9.6,13.8,9.6,8.6,1.4,9.5,8.0,20.2,5.9,12.9,5.3,1.3,1942
Auberry,60066,California,6.3,3.6,7.1,3.6,6.6,7.0,7.0,9.4,15.1,20.5,5.4,8.1,4.1,2347
Richmond,59976,California,7.3,6.6,6.7,6.6,5.9,7.9,15.6,14.0,13.4,11.9,6.6,3.1,1.2,106469
Rosemont,59959,California,5.2,5.7,6.6,5.7,7.9,8.7,16.7,13.4,12.3,12.8,6.8,2.6,1.5,22824
Willows,59952,California,4.0,6.2,8.1,6.2,8.2,7.1,12.0,15.3,16.2,10.7,6.0,4.7,1.4,6118
Pine Mountain Lake,59848,California,2.9,2.8,3.2,2.8,4.2,2.4,5.5,6.4,12.4,22.2,23.1,12.0,2.8,2422
Phelan,59804,California,4.0,5.1,7.5,5.1,7.7,6.5,10.2,13.0,16.6,14.5,11.0,3.7,0.2,12947
Sun Village,59753,California,8.5,7.0,8.8,7.0,8.4,8.7,11.4,11.3,15.9,10.3,6.5,2.5,0.8,11613
Sheridan,59712,California,9.0,6.1,4.3,6.1,4.5,7.2,17.1,14.7,14.7,14.7,3.3,2.5,1.8,1465
Long Beach,59710,California,7.0,6.4,6.5,6.4,7.6,8.3,15.7,14.4,13.6,10.7,5.7,2.8,1.3,468594
Turlock,59645,California,7.1,7.8,6.7,7.8,8.4,7.8,14.8,13.1,11.6,10.2,6.7,3.7,2.1,69875
Hanford,59543,California,7.8,9.0,8.2,9.0,7.7,7.1,15.0,12.3,11.5,10.7,6.1,3.2,1.4,54523
Citrus Heights,59355,California,5.9,5.7,6.0,5.7,6.0,7.3,15.1,12.4,14.8,12.3,8.1,4.6,1.8,84678
San Juan Bautista,59321,California,7.3,7.9,4.2,7.9,10.5,4.4,12.3,11.0,14.6,14.3,8.5,4.0,1.1,2219
Winchester,59293,California,2.7,3.3,9.7,3.3,8.4,10.0,6.1,13.2,23.7,9.0,12.0,1.4,0.6,2717
Flournoy,59250,California,14.0,8.4,3.5,8.4,4.2,2.1,21.7,5.6,14.7,14.7,7.7,1.4,2.1,143
Placerville,59158,California,5.6,7.2,6.4,7.2,4.7,5.9,13.8,11.0,14.9,13.2,9.1,4.6,3.8,10415
Rancho Cordova,58979,California,8.1,6.3,7.3,6.3,6.1,7.3,16.1,14.7,12.5,10.8,6.0,3.6,1.2,67167
Twain Harte,58939,California,4.3,2.4,2.2,2.4,4.9,8.1,8.8,3.4,14.3,26.5,16.1,6.8,2.3,2374
Shingletown,58856,California,5.9,3.7,4.8,3.7,6.5,4.5,4.5,3.0,13.8,22.9,21.1,7.2,2.3,2241
Penn Valley,58553,California,1.1,4.7,6.3,4.7,7.6,19.3,1.3,8.4,14.1,21.1,8.8,4.9,2.4,1599
Guerneville,58269,California,4.6,2.7,3.3,2.7,2.3,7.2,12.7,9.8,14.8,27.1,12.1,2.2,1.3,3775
Patterson,58184,California,9.7,9.8,11.2,9.8,7.5,5.3,12.6,15.4,13.2,8.6,4.6,1.6,0.7,20736
Blue Lake,58125,California,7.0,4.9,5.6,4.9,1.6,10.7,12.5,15.1,13.8,14.8,9.9,3.6,0.5,1258
Santa Paula,58110,California,8.3,8.6,8.7,8.6,7.3,8.0,13.0,13.9,12.1,8.9,5.7,3.6,1.8,29990
Alondra Park,57944,California,8.5,6.5,7.8,6.5,4.4,8.9,15.2,14.4,10.7,11.2,7.8,2.6,2.2,8833
